      z       p      T     wv     O3     RH   Aer.  LW_up  LW_dn
 100.00    0.00 210.70   0.00   0.00   0.00   0.00 278.74   0.00
  70.00    0.07 219.10   0.00   0.00   0.00   0.00 278.75   0.01
  50.00    0.95 276.20   0.00   0.00   0.00   0.00 278.86   0.41
  45.00    1.76 269.70   0.00   0.00   0.00   0.00 278.70   1.05
  40.00    3.33 257.50   0.00   0.00   0.00   0.00 278.36   1.98
  35.00    6.52 245.30   0.00   0.00   0.01   0.00 277.82   3.33
  30.00   13.20 234.20   0.00   0.00   0.04   0.00 277.02   5.40
  25.00   27.70 224.20   0.00   0.00   0.27   0.01 275.95   8.49
  17.68   84.20 204.30   0.00   0.00   8.00   0.02 273.77  14.00
  17.34   89.10 202.00   0.00   0.00  11.00   0.02 273.85  14.03
  16.66  100.00 201.80   0.00   0.00  11.00   0.02 274.43  14.40
  16.43  104.00 203.20   0.00   0.00  11.00   0.02 274.70  14.68
  16.15  108.90 202.60   0.00   0.00  11.00   0.02 274.93  14.97
  15.85  114.60 203.50   0.00   0.00  10.00   0.02 275.24  15.35
  15.73  117.00 202.40   0.00   0.00   9.00   0.02 275.32  15.45
  15.53  121.00 202.40   0.00   0.00   9.00   0.02 275.53  15.61
  15.34  125.00 200.40   0.00   0.00   9.00   0.02 275.77  15.65
  15.24  127.00 201.20   0.00   0.00   8.00   0.01 276.00  15.72
  14.24  150.00 209.20   0.00   0.00   4.00   0.01 278.48  17.75
  14.02  155.40 211.30   0.00   0.00   5.00   0.01 279.04  18.44
  13.41  171.40 214.90   0.00   0.00   4.00   0.01 280.52  20.52
  12.69  192.00 220.00   0.00   0.00   6.00   0.01 282.44  23.91
  12.56  196.00 219.40   0.00   0.00   7.00   0.01 282.72  24.58
  12.43  200.00 220.40   0.00   0.00  10.00   0.01 283.16  25.39
  12.19  207.40 222.00   0.01   0.00  11.00   0.02 284.02  27.29
  11.72  223.00 225.20   0.01   0.00  16.00   0.02 286.02  32.10
  11.20  241.00 229.60   0.01   0.00   9.00   0.02 288.41  37.80
  10.95  250.00 230.40   0.01   0.00  11.00   0.02 289.38  40.27
  10.92  251.00 230.60   0.02   0.00  12.00   0.02 289.52  40.57
  10.25  277.00 236.20   0.03   0.00  12.00   0.03 293.21  49.48
   9.84  294.00 238.80   0.02   0.00   8.00   0.03 295.12  54.86
   9.75  297.70 238.90   0.05   0.00  15.00   0.03 295.47  56.05
   9.70  300.00 239.00   0.07   0.00  23.00   0.03 295.79  57.09
   9.65  302.00 239.40   0.08   0.00  26.00   0.03 296.15  58.22
   9.22  321.00 243.00   0.07   0.00  16.00   0.03 299.18  67.35
   9.16  324.00 243.20   0.17   0.00  37.00   0.03 299.59  68.95
   9.07  328.00 243.80   0.18   0.00  37.00   0.04 300.29  71.66
   8.98  332.00 244.20   0.31   0.00  63.00   0.05 301.10  74.76
   8.96  333.00 244.20   0.31   0.00  62.00   0.05 301.35  75.60
   8.84  338.70 245.20   0.19   0.00  35.00   0.05 302.82  79.40
   8.73  344.00 246.20   0.12   0.00  21.00   0.05 303.90  81.73
   8.16  372.00 251.00   0.27   0.00  30.00   0.08 309.36  94.15
   7.77  392.00 253.80   0.32   0.00  28.00   0.10 313.13 103.92
   7.68  397.00 254.60   0.25   0.00  21.00   0.10 313.95 106.13
   7.56  403.00 255.00   0.21   0.00  17.00   0.10 314.64 108.19
   7.43  410.00 255.60   0.37   0.00  28.00   0.10 315.46 110.76
   7.25  420.00 255.80   0.88   0.00  66.00   0.12 316.96 116.02
   6.90  440.00 258.60   0.70   0.00  42.00   0.18 322.10 128.01
   6.85  443.00 259.00   0.74   0.00  43.00   0.18 322.82 129.56
   6.75  449.00 259.80   0.60   0.00  33.00   0.18 324.13 132.40
   6.61  457.00 260.80   1.01   0.00  51.00   0.18 325.84 136.46
   6.48  465.00 261.80   1.30   0.00  61.00   0.18 327.65 141.48
   6.45  467.00 261.80   1.45   0.00  68.00   0.18 328.02 142.75
   6.38  471.00 262.00   1.02   0.00  47.00   0.18 328.90 144.89
   6.20  482.00 263.40   1.15   0.00  48.00   0.18 331.30 150.31
   6.06  491.00 263.80   1.29   0.00  52.00   0.19 332.67 154.40
   5.98  496.00 263.60   1.71   0.00  70.00   0.22 333.52 156.52
   5.92  500.00 264.20   1.73   0.00  68.00   0.23 334.80 158.77
   4.85  573.00 273.30   2.50   0.00  51.00   0.27 358.15 199.39
   4.67  586.00 274.80   2.98   0.00  55.00   0.27 362.24 206.57
   4.54  595.00 275.80   2.38   0.00  41.00   0.27 364.87 211.16
   4.12  627.00 278.80   3.69   0.00  52.00   0.28 373.90 226.48
   3.81  651.00 281.50   4.48   0.00  53.00   0.29 382.37 240.19
   3.71  659.00 282.50   3.87   0.00  43.00   0.29 385.32 244.73
   3.26  695.00 286.50   3.82   0.00  33.00   0.29 396.71 262.73
   3.20  700.00 286.90   3.92   0.00  33.00   0.29 397.94 264.98
   3.00  717.00 288.30   5.30   0.00  41.00   0.42 402.65 273.15
   2.74  738.90 290.60   4.75   0.00  32.00   0.42 409.77 284.91
   2.60  751.00 291.90   4.49   0.00  28.00   0.42 413.36 290.96
   2.13  793.00 295.40   5.12   0.00  26.00   0.42 423.45 310.11
   2.04  802.00 296.10   5.12   0.00  25.00   0.70 425.27 314.12
   1.74  830.00 297.90   4.77   0.00  21.00   0.74 429.76 325.75
   1.59  844.00 298.10   6.43   0.00  28.00   0.74 430.98 330.47
   1.52  851.00 298.90   3.60   0.00  15.00   0.74 432.49 333.41
   1.44  859.00 299.30   3.19   0.00  13.00   0.74 433.22 335.77
   1.22  880.50 299.90   4.82   0.00  19.00   0.87 434.09 341.41
   0.91  911.50 300.30   7.53   0.00  29.00   1.18 432.48 350.42
   0.78  925.00 299.90   8.13   0.00  32.00   1.18 428.68 353.83
   0.68  936.30 297.90   8.85   0.00  39.00   1.18 421.84 352.91
   0.66  938.00 297.50   9.54   0.00  43.00   1.18 420.56 352.51
   0.65  939.70 296.90  10.94   0.00  51.00   1.18 419.08 351.81
   0.63  941.40 296.40  12.09   0.00  58.00   1.18 417.68 351.11
   0.61  943.20 295.90  13.17   0.00  65.00   1.18 416.18 350.45
   0.60  945.00 295.40  13.19   0.00  67.00   1.18 414.77 349.81
   0.58  946.80 295.00  13.28   0.00  69.00   1.18 413.51 349.28
   0.56  948.50 294.60  14.10   0.00  75.00   1.18 412.22 348.80
   0.55  950.30 294.20  15.25   0.00  83.00   1.18 410.81 348.39
   0.53  952.00 293.70  16.06   0.00  90.00   1.18 409.09 347.97
   0.52  953.80 292.90  15.83   0.00  93.00   1.18 407.08 347.11
   0.50  955.60 292.10  15.43   0.00  95.00   1.18 405.16 346.04
   0.48  957.40 291.20  15.09   0.00  98.00   1.18 403.56 344.75
   0.47  959.20 290.70  14.80   0.00  99.00   1.18 402.69 343.88
   0.45  961.00 290.30  14.45   0.00  99.00   0.00 402.29 343.32
   0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
   0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
   0.00    0.00   0.00   0.00   0.00   0.00*******   0.00   0.00
   0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
   0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
   0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
   0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
