      z       p      T     wv     O3     RH   Aer.  LW_up  LW_dn
   0.17  993.10 292.70  14.30   0.00  85.00   1.27 413.20 367.24
   0.17  993.60 292.60  14.22   0.00  85.00   1.27 413.04 367.12
   0.16  994.20 292.60  14.39   0.00  86.00   1.27 412.93 367.07
   0.16  994.80 292.50  14.47   0.00  87.00   1.27 412.77 367.00
   0.15  995.30 292.40  14.38   0.00  87.00   1.27 412.60 366.88
   0.15  995.90 292.30  14.46   0.00  88.00   1.27 412.45 366.76
   0.14  996.40 292.20  14.38   0.00  88.00   1.27 412.34 366.64
   0.14  997.00 292.10  14.46   0.00  89.00   0.00 412.32 366.51
   0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
   0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
   0.00    0.00   0.00   0.00   0.00   0.00*******   0.00   0.00
   0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
   0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
   0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
   0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
