 Sounding NKX 20150626-12UTC                                                     
      z       p      T     wv     O3     RH   Aer.  LW_up  LW_dn
 100.00000    0.00 210.70   0.00   0.00   0.00   0.00 270.98   0.00
  70.00000    0.07 219.10   0.00   0.00   0.00   0.00 270.98   0.01
  50.00000    0.95 276.20   0.00   0.00   0.00   0.00 271.09   0.41
  45.00000    1.76 269.70   0.00   0.00   0.00   0.00 270.93   1.05
  40.00000    3.33 257.50   0.00   0.00   0.00   0.00 270.59   1.97
  35.00000    6.52 245.30   0.00   0.00   0.01   0.00 270.04   3.31
  30.00000   13.20 234.20   0.00   0.00   0.04   0.00 269.21   5.36
  23.25700   34.50 216.40   0.00   0.00   1.00   0.00 267.27   9.34
  22.86000   36.70 218.40   0.00   0.00   1.00   0.00 267.26   9.65
  22.02300   41.90 215.80   0.00   0.00   1.00   0.00 267.00  10.24
  21.33600   46.70 215.00   0.00   0.00   1.00   0.00 266.82  10.70
  21.28500   47.10 214.20   0.00   0.00   1.00   0.00 266.80  10.72
  20.91000   50.00 215.00   0.00   0.00   1.00   0.00 266.68  10.99
  20.68900   51.80 211.20   0.00   0.00   1.00   0.00 266.54  11.04
  20.23900   55.70 212.40   0.00   0.00   1.00   0.01 266.50  11.27
  19.93400   58.50 211.40   0.00   0.00   2.00   0.01 266.36  11.47
  19.55800   62.20 207.60   0.00   0.00   2.00   0.01 266.23  11.59
  19.20200   66.00 207.50   0.00   0.00   2.00   0.01 266.29  11.74
  18.63500   72.40 207.80   0.00   0.00   3.00   0.01 266.28  12.18
  18.34200   76.00 204.00   0.00   0.00   4.00   0.01 266.18  12.25
  18.00000   80.50 202.60   0.00   0.00   5.00   0.01 266.30  12.29
  17.77400   83.60 204.20   0.00   0.00   5.00   0.01 266.45  12.48
  17.41500   88.80 202.00   0.00   0.00   5.00   0.01 266.57  12.65
  17.00800   95.10 203.40   0.00   0.00   7.00   0.01 266.91  13.01
  16.71000  100.00 202.00   0.00   0.00   7.00   0.01 267.11  13.23
  16.42100  105.00 203.40   0.00   0.00   7.00   0.01 267.44  13.55
  16.25300  108.00 202.20   0.00   0.00   7.00   0.01 267.60  13.69
  16.03700  112.00 203.80   0.00   0.00   6.00   0.01 267.95  13.96
