 Sounding NKX 20170718-12UTC                                                     
      z       p      T     wv     O3     RH   Aer.  LW_up  LW_dn
 100.00000    0.00 210.70   0.00   0.00   0.00   0.00 283.99   0.00
  70.00000    0.07 219.10   0.00   0.00   0.00   0.00 283.99   0.01
  50.00000    0.95 276.20   0.00   0.00   0.00   0.00 284.10   0.41
  45.00000    1.76 269.70   0.00   0.00   0.00   0.00 283.95   1.05
  40.00000    3.33 257.50   0.00   0.00   0.00   0.00 283.61   1.99
  35.00000    6.52 245.30   0.00   0.00   0.01   0.00 283.10   3.35
  26.09200   22.30 224.40   0.00   0.00   1.00   0.00 280.82   8.58
  25.71800   23.60 226.00   0.00   0.00   1.00   0.00 280.71   8.91
  25.60300   24.00 225.10   0.00   0.00   1.00   0.00 280.65   9.01
  24.83800   27.00 219.40   0.00   0.00   1.00   0.00 280.35   9.43
  24.16000   30.00 218.60   0.00   0.00   1.00   0.00 280.27   9.79
  24.03300   30.60 217.80   0.00   0.00   1.00   0.00 280.26   9.85
  22.80100   37.10 219.20   0.00   0.00   1.00   0.00 280.13  10.80
  22.16300   41.00 216.20   0.00   0.00   1.00   0.00 279.92  11.23
  21.44800   45.90 216.60   0.00   0.00   1.00   0.00 279.75  11.76
  21.27200   47.20 214.00   0.00   0.00   1.00   0.00 279.66  11.83
  20.91000   50.00 214.60   0.00   0.00   1.00   0.00 279.61  12.04
  20.61700   52.40 213.80   0.00   0.00   1.00   0.00 279.51  12.22
  20.33800   54.80 211.60   0.00   0.00   1.00   0.00 279.42  12.32
  20.11700   56.80 212.10   0.00   0.00   1.00   0.01 279.42  12.42
  19.77600   60.00 212.80   0.00   0.00   1.00   0.02 279.39  12.72
  19.07900   67.20 208.60   0.00   0.00   2.00   0.02 279.22  13.12
  18.59300   72.80 208.30   0.00   0.00   3.00   0.02 279.26  13.44
  18.00800   80.10 207.00   0.00   0.00   6.00   0.02 279.18  13.91
  17.67800   84.60 203.60   0.00   0.00  11.00   0.02 279.09  14.04
  17.37400   89.10 202.30   0.00   0.00  13.00   0.02 279.16  14.16
  16.69000  100.00 200.00   0.00   0.00  21.00   0.02 279.59  14.53
  15.61600  120.00 203.00   0.00   0.00  35.00   0.02 281.06  16.33
  15.42100  124.00 202.60   0.00   0.00  41.00   0.02 281.26  16.77
  15.37400  125.00 200.80   0.00   0.00  40.00   0.02 281.30  16.80
  14.70400  140.00 203.80   0.00   0.00  36.00   0.01 282.93  18.27
  13.93400  159.00 209.20   0.00   0.00  38.00   0.01 285.43  21.39
  13.52100  170.00 212.00   0.00   0.00  10.00   0.02 286.83  23.15
  12.20400  209.00 222.80   0.00   0.00   7.00   0.02 291.64  29.77
  11.86700  220.00 224.80   0.02   0.00  30.00   0.02 293.14  33.31
  11.54300  231.00 228.00   0.02   0.00  22.00   0.02 295.15  38.32
  11.27800  240.30 229.90   0.05   0.00  40.00   0.02 296.96  42.96
  11.03700  249.00 231.80   0.03   0.00  21.00   0.02 298.83  47.00
  10.87600  255.00 232.80   0.01   0.00   6.00   0.03 299.73  48.51
  10.11000  285.00 239.40   0.07   0.00  21.00   0.03 305.27  58.19
   9.94000  292.00 241.00   0.01   0.00   4.00   0.04 306.53  60.51
   9.75000  300.00 242.20   0.02   0.00   4.00   0.04 307.50  62.17
   9.49300  311.00 244.00   0.10   0.00  20.00   0.04 309.46  66.13
   9.14400  326.40 247.20   0.03   0.00   4.00   0.05 312.38  71.92
   8.87000  339.00 248.40   0.04   0.00   6.00   0.07 314.03  75.02
   7.85100  389.00 256.80   0.06   0.00   4.00   0.11 322.05  90.55
   7.62000  401.10 258.40   0.15   0.00   9.00   0.11 323.64  95.66
   7.47100  409.00 258.60   0.37   0.00  22.00   0.11 324.87 100.85
   7.17900  425.00 260.80   0.10   0.00   5.00   0.16 327.84 108.75
   6.79200  447.00 263.60   0.37   0.00  15.00   0.20 331.40 118.49
   6.51900  463.00 265.40   0.31   0.00  11.00   0.20 333.42 127.10
   6.43600  468.00 264.80   0.37   0.00  14.00   0.20 333.46 128.97
   6.37000  472.00 264.40   1.35   0.00  52.00   0.20 333.91 131.48
   6.11000  488.00 266.40   0.57   0.00  19.00   0.22 337.94 143.13
   5.92000  500.00 268.00   0.54   0.00  16.00   0.25 340.10 148.63
   5.31300  540.00 270.20   2.33   0.00  59.00   0.26 346.69 170.93
   4.87700  570.30 273.60   2.90   0.00  58.00   0.30 355.66 193.43
   4.57700  592.00 276.10   4.15   0.00  70.00   0.30 362.54 209.33
   4.25300  616.00 278.50   4.52   0.00  65.00   0.32 370.27 226.13
   3.65800  662.00 283.80   5.38   0.00  55.00   0.33 386.10 255.34
   3.23700  696.00 287.10   5.65   0.00  47.00   0.33 395.68 274.39
   3.14100  704.00 287.50   7.27   0.00  59.00   0.42 397.29 278.51
   2.77500  735.00 289.80   8.36   0.00  59.00   0.47 405.67 296.64
   2.48800  760.00 292.30   6.08   0.00  37.00   0.47 412.79 310.35
   2.35300  772.00 292.80   8.80   0.00  52.00   0.47 415.13 315.62
   2.24200  782.00 294.10   6.94   0.00  38.00   0.47 418.45 321.49
   2.13400  791.80 295.00   5.77   0.00  30.00   0.65 420.64 326.07
   1.87300  816.00 296.80   5.33   0.00  25.00   0.84 423.79 335.76
   1.67200  835.00 295.90   7.70   0.00  38.00   0.84 421.84 339.33
   1.51700  850.00 296.30   6.01   0.00  29.00   0.84 422.05 343.19
   1.21900  879.60 295.40   8.66   0.00  44.00   0.84 419.52 347.45
   1.06800  895.00 295.80   2.62   0.00  13.00   1.12 419.90 349.96
   0.91400  911.00 296.00   5.71   0.00  28.00   1.34 419.56 352.16
   0.80900  922.00 295.30   9.79   0.00  50.00   1.34 417.11 353.18
   0.73400  930.00 294.10  10.23   0.00  56.00   1.34 414.54 352.65
   0.65100  939.00 294.50   8.04   0.00  43.00   1.34 414.01 354.45
   0.53200  952.10 292.50  12.97   0.00  78.00   1.34 408.93 353.14
   0.52000  953.50 292.30  13.48   0.00  82.00   1.34 408.46 352.98
   0.50700  954.90 292.10  13.81   0.00  85.00   1.34 407.99 352.89
   0.49400  956.30 291.90  14.29   0.00  89.00   1.34 407.55 352.82
   0.48200  957.70 291.70  14.44   0.00  91.00   1.34 407.21 352.75
   0.46900  959.10 291.60  14.51   0.00  92.00   1.34 407.01 352.82
   0.45600  960.60 291.60  14.51   0.00  92.00   1.34 406.87 353.08
   0.44400  962.00 291.50  14.58   0.00  93.00   1.34 406.65 353.27
   0.43100  963.40 291.40  14.65   0.00  94.00   1.34 406.43 353.47
   0.41800  964.90 291.30  14.56   0.00  94.00   1.34 406.25 353.68
   0.40600  966.30 291.30  14.72   0.00  95.00   1.34 406.16 353.98
   0.39300  967.70 291.20  14.63   0.00  95.00   1.34 405.95 354.25
   0.38000  969.10 291.10  14.70   0.00  96.00   1.34 405.77 354.48
   0.36800  970.60 291.00  14.61   0.00  96.00   1.34 405.63 354.69
   0.35500  972.00 290.90  14.67   0.00  97.00   0.00 405.61 354.91
   0.00000    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
   0.00000    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
   0.00000    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
   0.00000    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
   0.00000    0.00   0.00   0.00   0.00   0.00*******   0.00   0.00
   0.00000    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
   0.00000    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
   0.00000    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
   0.00000    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
