 Sounding NKX 20170705-12UTC                                                     
      z       p      T     wv     O3     RH   Aer.  LW_up  LW_dn
 100.00000    0.00 210.70   0.00   0.00   0.00   0.00 285.36   0.00
  70.00000    0.07 219.10   0.00   0.00   0.00   0.00 285.36   0.01
  50.00000    0.95 276.20   0.00   0.00   0.00   0.00 285.48   0.41
  45.00000    1.76 269.70   0.00   0.00   0.00   0.00 285.32   1.05
  40.00000    3.33 257.50   0.00   0.00   0.00   0.00 284.98   1.98
  35.00000    6.52 245.30   0.00   0.00   0.01   0.00 284.42   3.31
  30.00000   13.20 234.20   0.00   0.00   0.04   0.00 283.53   5.37
  24.48200   28.30 218.40   0.00   0.00   1.00   0.00 281.98   8.54
  24.38400   28.70 218.30   0.00   0.00   1.00   0.00 281.97   8.59
  23.77800   31.60 218.40   0.00   0.00   1.00   0.00 281.89   9.00
  23.19900   34.60 216.60   0.00   0.00   1.00   0.00 281.78   9.38
  21.94600   42.10 216.80   0.00   0.00   1.00   0.00 281.58  10.35
  21.33600   46.40 214.70   0.00   0.00   1.00   0.00 281.32  10.77
  21.03100   48.70 212.60   0.00   0.00   1.00   0.00 281.21  10.89
  20.87000   50.00 212.60   0.00   0.00   1.00   0.00 281.18  10.96
  20.42200   53.70 212.40   0.00   0.00   1.00   0.00 281.03  11.23
  20.02200   57.30 208.40   0.00   0.00   1.00   0.01 280.84  11.29
  19.20200   65.50 207.80   0.00   0.00   2.00   0.01 280.90  11.71
  18.96700   68.10 206.00   0.00   0.00   2.00   0.01 280.90  11.80
  18.80000   70.00 206.20   0.00   0.00   2.00   0.01 280.97  11.88
  18.52200   73.30 207.80   0.00   0.00   3.00   0.01 281.05  12.16
  18.28800   76.20 206.60   0.00   0.00   3.00   0.01 281.00  12.36
  17.88500   81.50 204.60   0.00   0.00   5.00   0.01 280.94  12.58
  17.39900   88.50 199.80   0.00   0.00   6.00   0.01 281.02  12.58
  16.81800   97.70 203.80   0.00   0.00   7.00   0.01 281.66  13.15
  16.44700  104.00 202.80   0.00   0.00  11.00   0.01 281.81  13.58
  16.33400  106.00 201.20   0.00   0.00  13.00   0.01 281.87  13.64
  15.80200  116.00 201.60   0.00   0.00  13.00   0.01 282.57  14.17
  15.24000  127.50 203.60   0.00   0.00  11.00   0.01 283.56  15.08
  14.85400  136.00 205.00   0.00   0.00  10.00   0.01 284.35  15.83
  14.32600  148.40 208.60   0.00   0.00   7.00   0.01 285.63  17.18
  14.02100  155.80 210.60   0.00   0.00   6.00   0.01 286.40  18.09
  13.10600  180.20 216.60   0.00   0.00   5.00   0.01 288.94  21.50
  12.70500  192.00 219.20   0.00   0.00   4.00   0.01 290.18  23.32
  12.19200  207.70 223.20   0.00   0.00   4.00   0.01 291.90  26.11
  11.63700  226.00 226.40   0.01   0.00   6.00   0.02 293.86  30.01
   9.70000  300.00 241.20   0.01   0.00   3.00   0.03 303.44  48.89
   9.14400  324.40 245.30   0.02   0.00   3.00   0.04 306.15  55.85
   8.33300  363.00 249.60   0.06   0.00   8.00   0.05 310.24  70.17
   8.21400  369.00 249.20   0.12   0.00  16.00   0.07 310.90  73.26
   7.31500  416.60 257.00   0.06   0.00   4.00   0.08 318.33  93.26
   7.11200  428.00 258.00   0.10   0.00   6.00   0.11 318.96  96.78
   6.93800  438.00 256.40   0.36   0.00  26.00   0.16 319.06 100.93
   6.58500  459.00 258.60   0.37   0.00  22.00   0.16 322.74 113.15
   6.40100  470.20 259.80   1.22   0.00  67.00   0.16 325.14 121.82
   6.14900  486.00 262.00   1.66   0.00  77.00   0.16 330.28 137.84
   6.00800  495.00 263.40   1.25   0.00  52.00   0.19 333.37 145.20
   5.74500  512.00 265.80   1.41   0.00  49.00   0.19 338.27 156.05
   5.40100  535.00 268.20   2.15   0.00  63.00   0.19 344.78 170.25
   5.09600  556.00 271.00   2.25   0.00  54.00   0.22 352.05 183.69
   4.87700  571.40 273.00   2.16   0.00  45.00   0.23 357.19 192.52
   4.59200  592.00 275.30   1.96   0.00  35.00   0.23 363.29 202.58
   4.26700  616.10 277.90   1.94   0.00  29.00   0.25 369.73 213.13
   3.47700  678.00 284.10   3.99   0.00  40.00   0.29 387.22 243.11
