      z       p      T     wv     O3     RH   Aer.  LW_up  LW_dn
 100.00    0.00 210.70   0.00   0.00   0.00   0.00 266.68   0.00
  70.00    0.07 219.10   0.00   0.00   0.00   0.00 266.68   0.01
  50.00    0.95 276.20   0.00   0.00   0.00   0.00 266.79   0.41
  45.00    1.76 269.70   0.00   0.00   0.00   0.00 266.63   1.04
  40.00    3.33 257.50   0.00   0.00   0.00   0.00 266.29   1.96
  35.00    6.52 245.30   0.00   0.00   0.00   0.00 265.73   3.26
  28.65   14.80 227.70   0.00   0.00   1.00   0.00 264.42   6.34
  28.04   16.20 228.00   0.00   0.00   1.00   0.00 264.34   6.87
  27.43   17.80 226.60   0.00   0.00   1.00   0.00 264.21   7.41
  27.10   18.70 225.80   0.00   0.00   1.00   0.00 264.16   7.67
  26.66   20.00 225.60   0.00   0.00   1.00   0.00 264.09   8.04
  25.91   22.40 225.00   0.00   0.00   1.00   0.00 263.95   8.68
  25.30   24.60 224.50   0.00   0.00   1.00   0.00 263.81   9.22
  24.88   26.20 224.20   0.00   0.00   1.00   0.00 263.68   9.60
  24.38   28.30 221.90   0.00   0.00   1.00   0.00 263.50   9.98
  24.00   30.00 220.20   0.00   0.00   1.00   0.00 263.40  10.22
  23.77   31.10 219.60   0.00   0.00   1.00   0.00 263.37  10.35
  22.74   36.50 219.60   0.00   0.00   1.00   0.00 263.20  11.13
  21.68   43.10 216.80   0.00   0.00   1.00   0.00 262.89  11.86
  21.45   44.70 218.20   0.00   0.00   1.00   0.00 262.82  12.07
  21.25   46.10 216.20   0.00   0.00   1.00   0.00 262.69  12.19
  20.74   50.00 212.40   0.00   0.00   1.00   0.00 262.46  12.33
  20.71   50.20 212.00   0.00   0.00   1.00   0.00 262.46  12.33
  19.83   57.90 211.20   0.00   0.00   1.00   0.01 262.39  12.69
  19.69   59.20 208.80   0.00   0.00   1.00   0.01 262.37  12.71
  19.14   64.70 211.00   0.00   0.00   1.00   0.01 262.57  13.07
  18.59   70.80 209.10   0.00   0.00   1.00   0.01 262.59  13.41
  18.29   74.40 208.80   0.00   0.00   1.00   0.01 262.69  13.58
  17.67   82.20 210.20   0.00   0.00   2.00   0.00 262.96  14.15
  17.68   82.20 210.20   0.00   0.00   2.00   0.01 262.96  14.15
  17.03   91.30 209.00   0.00   0.00   2.00   0.01 263.13  14.71
  15.89  110.00 209.80   0.00   0.00   3.00   0.01 263.81  15.92
