      z       p      T     wv     O3     RH   Aer.  LW_up  LW_dn
 100.00    0.00 210.70   0.00   0.00   0.00   0.00 278.15   0.00
  70.00    0.07 219.10   0.00   0.00   0.00   0.00 278.15   0.01
  50.00    0.95 276.20   0.00   0.00   0.00   0.00 278.26   0.41
  45.00    1.76 269.70   0.00   0.00   0.00   0.00 278.10   1.04
  40.00    3.33 257.50   0.00   0.00   0.00   0.00 277.75   1.95
  35.00    6.52 245.30   0.00   0.00   0.00   0.00 277.16   3.25
  28.65   14.80 224.20   0.00   0.00   1.00   0.00 275.68   5.98
  28.44   15.30 222.40   0.00   0.00   1.00   0.00 275.64   6.08
  27.43   17.90 221.40   0.00   0.00   1.00   0.00 275.58   6.64
  26.38   21.00 223.20   0.00   0.00   1.00   0.00 275.50   7.45
  25.49   24.10 221.20   0.00   0.00   1.00   0.00 275.29   8.16
  24.18   29.60 216.60   0.00   0.00   1.00   0.00 275.06   8.96
  23.77   31.50 218.00   0.00   0.00   1.00   0.00 275.08   9.25
  23.47   33.10 218.50   0.00   0.00   1.00   0.00 275.04   9.52
  22.86   36.40 217.70   0.00   0.00   1.00   0.00 274.90  10.02
  22.25   40.00 215.40   0.00   0.00   1.00   0.00 274.73  10.42
  21.95   42.00 214.50   0.00   0.00   1.00   0.00 274.68  10.58
  21.34   46.30 214.10   0.00   0.00   1.00   0.00 274.62  10.97
  20.85   50.00 213.80   0.00   0.00   1.00   0.00 274.54  11.32
  20.42   53.60 212.40   0.00   0.00   1.00   0.01 274.44  11.57
  19.52   62.00 210.80   0.00   0.00   1.00   0.01 274.32  12.12
  19.20   65.30 209.60   0.00   0.00   2.00   0.01 274.28  12.30
  18.90   68.70 208.00   0.00   0.00   2.00   0.01 274.27  12.44
  18.78   70.00 206.80   0.00   0.00   2.00   0.01 274.30  12.46
  18.27   76.10 210.20   0.00   0.00   2.00   0.01 274.53  12.96
  17.47   86.70 204.80   0.00   0.00   4.00   0.01 274.44  13.36
  16.61  100.00 206.20   0.00   0.00   4.00   0.01 275.07  14.08
  16.20  107.00 206.40   0.00   0.00   5.00   0.01 275.36  14.53
  15.85  113.50 205.80   0.00   0.00   5.00   0.01 275.66  14.88
  15.24  125.50 207.70   0.00   0.00   6.00   0.01 276.47  15.79
  14.40  144.00 210.40   0.00   0.00  10.00   0.01 277.81  17.72
  13.87  157.00 211.80   0.00   0.00   9.00   0.01 278.91  19.26
  13.52  166.00 215.00   0.00   0.00   5.00   0.01 279.83  20.52
  13.01  180.00 217.20   0.00   0.00  10.00   0.01 281.07  22.69
  12.19  204.30 222.70   0.01   0.00  11.00   0.01 283.73  28.14
  12.14  206.00 223.20   0.01   0.00  10.00   0.01 283.91  28.58
  11.21  237.00 227.60   0.01   0.00  15.00   0.01 287.38  36.83
  10.85  250.00 230.60   0.02   0.00  12.00   0.01 289.21  40.79
  10.51  263.00 233.00   0.02   0.00  11.00   0.01 290.81  44.65
   9.91  287.00 235.80   0.03   0.00  14.00   0.02 293.64  51.75
   9.69  296.00 236.40   0.07   0.00  31.00   0.02 295.10  55.27
   9.60  300.00 237.20   0.07   0.00  25.00   0.02 296.04  57.14
   9.14  320.10 241.40   0.05   0.00  13.00   0.02 300.32  64.71
   8.95  329.00 243.20   0.05   0.00  10.00   0.03 301.99  67.48
   8.53  349.00 247.00   0.05   0.00   8.00   0.03 305.47  73.67
   8.03  374.00 250.60   0.11   0.00  13.00   0.05 310.07  82.60
   7.83  384.00 252.20   0.06   0.00   6.00   0.06 312.06  86.07
   7.62  395.20 254.00   0.08   0.00   7.00   0.06 314.07  89.49
   7.07  425.00 258.80   0.08   0.00   5.00   0.06 319.26  99.33
   7.01  428.50 259.30   0.11   0.00   6.00   0.11 319.78 100.57
   6.10  482.40 266.00   0.35   0.00  12.00   0.12 329.79 124.54
   5.82  500.00 268.00   0.51   0.00  15.00   0.13 333.24 134.28
   5.09  548.00 273.30   0.83   0.00  17.00   0.16 343.44 160.63
   4.47  592.00 276.80   1.37   0.00  22.00   0.16 352.92 183.18
   4.27  606.90 278.30   0.89   0.00  13.00   0.17 357.03 189.89
   3.77  645.00 282.30   0.36   0.00   4.00   0.18 364.55 202.00
   3.09  700.00 284.50   0.31   0.00   3.00   0.23 369.87 212.27
   2.74  729.40 286.30   0.34   0.00   3.00   0.25 373.36 218.23
   2.32  767.00 288.90   0.27   0.00   2.00   0.32 377.16 226.40
   1.84  812.00 290.50   0.30   0.00   2.00   0.45 378.62 234.69
   1.59  835.90 289.50   1.67   0.00  12.00   0.45 376.68 239.35
   1.55  839.60 289.30   1.92   0.00  14.00   0.45 376.24 240.34
   1.52  843.30 289.10   2.17   0.00  16.00   0.45 375.79 241.43
   1.48  847.10 289.00   2.56   0.00  19.00   0.45 375.32 242.71
   1.44  850.90 288.60   3.29   0.00  25.00   0.45 374.57 243.95
   1.40  854.70 288.20   4.50   0.00  35.00   0.45 373.91 245.45
   1.36  858.60 288.30   4.14   0.00  32.00   0.45 373.73 247.53
   1.33  862.40 288.50   3.53   0.00  27.00   0.45 373.57 249.53
   1.29  866.30 288.70   3.05   0.00  23.00   0.45 373.28 251.26
   1.25  870.10 288.90   2.41   0.00  18.00   0.45 372.79 252.73
   1.21  874.00 288.80   2.53   0.00  19.00   0.45 371.85 253.76
   1.18  878.00 288.50   2.88   0.00  22.00   0.45 370.29 254.56
   1.14  881.90 287.40   3.18   0.00  26.00   0.45 367.65 254.47
   1.10  885.90 284.70   6.63   0.00  64.00   0.45 363.62 252.47
   1.06  890.00 282.50   8.83   0.00  98.00   0.00 360.91 250.60
   0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
   0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
   0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
   0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
   0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
   0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
   0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
   0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
   0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
   0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
   0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
   0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
   0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
   0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
   0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
   0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
   0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
   0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
   0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
   0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
   0.00    0.00   0.00   0.00   0.00   0.00*******   0.00   0.00
   0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
   0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
   0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
   0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
