      z       p      T     wv     O3     RH   Aer.  LW_up  LW_dn
 100.00    0.00 210.70   0.00   0.00   0.00   0.00 287.89   0.00
  70.00    0.07 219.10   0.00   0.00   0.00   0.00 287.90   0.01
  50.00    0.95 276.20   0.00   0.00   0.00   0.00 288.01   0.41
  45.00    1.76 269.70   0.00   0.00   0.00   0.00 287.85   1.04
  40.00    3.33 257.50   0.00   0.00   0.00   0.00 287.51   1.96
  35.00    6.52 245.30   0.00   0.00   0.00   0.00 286.94   3.28
  28.12   16.20 227.80   0.00   0.00   1.00   0.00 285.30   6.92
  27.43   18.00 224.70   0.00   0.00   1.00   0.00 285.11   7.41
  26.82   19.70 223.70   0.00   0.00   1.00   0.00 284.98   7.81
  26.41   21.00 222.60   0.00   0.00   1.00   0.00 284.89   8.08
  25.82   23.00 220.80   0.00   0.00   1.00   0.00 284.78   8.43
  25.13   25.60 221.40   0.00   0.00   1.00   0.00 284.65   8.92
  24.69   27.40 219.30   0.00   0.00   1.00   0.00 284.51   9.21
  24.28   29.20 217.40   0.00   0.00   1.00   0.00 284.43   9.42
  24.08   30.10 217.80   0.00   0.00   1.00   0.00 284.41   9.54
  23.47   33.20 217.10   0.00   0.00   1.00   0.00 284.28   9.93
  22.99   35.80 214.00   0.00   0.00   1.00   0.00 284.17  10.14
  22.25   40.20 215.60   0.00   0.00   1.00   0.00 284.16  10.63
  21.95   42.20 215.30   0.00   0.00   1.00   0.00 284.07  10.86
  21.46   45.60 212.40   0.00   0.00   1.00   0.00 283.92  11.10
  20.93   49.70 212.80   0.00   0.00   1.00   0.00 283.85  11.41
  20.25   55.50 209.20   0.00   0.00   1.00   0.01 283.68  11.68
  19.51   62.60 210.80   0.00   0.00   1.00   0.01 283.70  12.21
  19.14   66.50 207.00   0.00   0.00   2.00   0.01 283.57  12.35
  18.75   70.90 207.20   0.00   0.00   2.00   0.01 283.59  12.55
  18.68   71.70 205.60   0.00   0.00   3.00   0.01 283.57  12.56
  18.29   76.60 204.60   0.00   0.00   3.00   0.01 283.68  12.68
  16.69  100.00 204.80   0.00   0.00   7.00   0.01 284.52  14.01
  16.40  105.00 204.60   0.00   0.00  12.00   0.01 284.64  14.36
  16.23  108.00 201.00   0.00   0.00  13.00   0.01 284.70  14.37
  15.81  116.00 204.00   0.00   0.00   8.00   0.01 285.40  14.83
  15.51  122.00 203.20   0.00   0.00   6.00   0.01 285.77  15.14
  15.24  127.60 203.90   0.00   0.00   4.00   0.01 286.26  15.43
  14.63  141.20 207.70   0.00   0.00   3.00   0.01 287.62  16.48
  13.41  171.60 218.20   0.00   0.00   2.00   0.01 290.93  20.25
  13.25  176.00 219.60   0.00   0.00   1.00   0.01 291.34  20.87
  12.86  187.00 222.40   0.00   0.00   2.00   0.01 292.23  22.50
  12.19  207.10 224.80   0.00   0.00   3.00   0.01 293.54  25.76
  12.07  211.00 224.60   0.00   0.00   4.00   0.01 293.77  26.39
  11.59  227.00 227.40   0.00   0.00   4.00   0.01 295.05  29.57
  11.45  232.00 227.80   0.01   0.00   7.00   0.01 295.32  30.76
  11.30  237.00 226.80   0.01   0.00  13.00   0.01 295.60  32.14
  11.08  245.00 227.40   0.02   0.00  17.00   0.01 296.57  34.88
  10.97  249.10 228.20   0.02   0.00  15.00   0.02 297.20  36.34
  10.67  260.60 231.00   0.02   0.00  14.00   0.02 299.05  40.50
  10.15  281.00 235.60   0.03   0.00  14.00   0.02 302.27  48.33
   9.91  291.00 236.40   0.03   0.00  12.00   0.02 303.64  51.72
   9.70  300.00 238.20   0.04   0.00  13.00   0.02 305.17  54.77
   9.05  329.00 243.60   0.03   0.00   7.00   0.03 309.64  64.11
   8.85  338.00 244.20   0.04   0.00   9.00   0.04 310.69  66.68
   8.75  343.00 244.60   0.09   0.00  18.00   0.05 311.51  68.56
   7.62  400.00 255.60   0.13   0.00  10.00   0.07 324.71  94.14
   7.01  433.60 261.10   0.14   0.00   7.00   0.12 331.54 107.75
   6.61  457.00 264.20   0.10   0.00   4.00   0.12 334.97 115.82
   6.39  470.00 264.40   0.26   0.00  10.00   0.13 336.25 120.14
   5.91  500.00 267.40   0.39   0.00  12.00   0.15 341.40 133.67
   5.51  526.00 269.40   0.60   0.00  16.00   0.16 346.04 145.89
   4.84  572.00 274.80   0.87   0.00  16.00   0.19 356.29 169.37
   4.61  589.00 275.80   1.74   0.00  30.00   0.19 359.61 178.98
   4.57  591.50 276.10   1.72   0.00  29.00   0.19 360.39 180.73
   4.20  619.00 279.80   1.67   0.00  22.00   0.20 368.18 198.24
   3.62  664.00 282.90   2.03   0.00  22.00   0.20 376.58 219.46
   3.52  672.00 283.30   3.03   0.00  32.00   0.20 378.20 223.35
   3.18  700.00 286.50   3.24   0.00  28.00   0.25 386.13 240.18
   2.83  730.00 289.10   4.21   0.00  31.00   0.29 393.24 257.07
   2.54  755.00 291.50   3.45   0.00  22.00   0.29 398.95 270.23
   2.48  760.00 291.90   0.64   0.00   4.00   0.29 399.44 271.65
   2.44  764.20 291.80   0.64   0.00   4.00   0.29 399.47 272.13
   2.34  773.00 291.80   0.96   0.00   6.00   0.29 399.76 273.09
   2.14  791.00 292.30   2.14   0.00  13.00   0.29 401.09 276.31
   2.01  803.00 292.80   2.03   0.00  12.00   0.45 402.21 279.19
   1.97  807.00 292.90   0.85   0.00   5.00   0.52 402.44 279.91
   1.90  814.00 292.90   1.70   0.00  10.00   0.52 402.80 280.95
   1.52  850.00 294.50   1.68   0.00   9.00   0.52 406.20 289.06
   1.22  880.50 295.80   2.42   0.00  12.00   0.52 407.61 296.59
   1.10  893.00 295.30   5.68   0.00  29.00   0.52 405.98 299.38
   1.06  896.30 295.30   5.68   0.00  29.00   0.52 405.58 300.43
   1.04  899.00 295.30   5.68   0.00  29.00   0.52 405.23 301.28
   1.01  901.60 295.30   5.68   0.00  29.00   0.66 404.84 302.14
   0.99  904.30 295.30   5.68   0.00  29.00   0.83 404.41 302.97
   0.96  906.90 295.30   5.68   0.00  29.00   0.83 403.92 303.83
   0.94  909.60 295.30   5.68   0.00  29.00   0.83 403.33 304.70
   0.91  912.20 295.30   5.68   0.00  29.00   0.83 402.63 305.51
   0.89  914.80 295.30   5.68   0.00  29.00   0.83 401.61 306.34
   0.86  917.50 294.90   5.74   0.00  30.00   0.83 400.07 306.67
   0.84  920.20 294.40   5.95   0.00  32.00   0.83 398.34 306.65
   0.81  923.00 294.00   5.99   0.00  33.00   0.83 396.32 306.60
   0.79  925.60 293.10   7.24   0.00  42.00   0.83 393.25 305.95
   0.76  928.40 290.60   9.66   0.00  65.00   0.83 388.40 303.09
   0.73  931.20 287.70  11.22   0.00  90.00   0.83 384.03 298.60
   0.71  934.00 286.80  11.80   0.00  99.99   0.00 382.78 296.39
   0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
   0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
   0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
   0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
