 Sounding NKX 20160707-12UTC                                                     
      z       p      T     wv     O3     RH   Aer.  LW_up  LW_dn
 100.00000    0.00 210.70   0.00   0.00   0.00   0.00 282.79   0.00
  70.00000    0.07 219.10   0.00   0.00   0.00   0.00 282.79   0.01
  50.00000    0.95 276.20   0.00   0.00   0.00   0.00 282.90   0.41
  45.00000    1.76 269.70   0.00   0.00   0.00   0.00 282.74   1.04
  40.00000    3.33 257.50   0.00   0.00   0.00   0.00 282.41   1.96
  30.48000   11.30 228.00   0.00   0.00   1.00   0.00 280.57   5.64
  30.27800   11.70 229.20   0.00   0.00   1.00   0.00 280.55   5.77
  29.88900   12.40 228.80   0.00   0.00   1.00   0.00 280.48   6.06
  28.44800   15.40 224.40   0.00   0.00   1.00   0.00 280.24   6.99
  27.68200   17.30 225.40   0.00   0.00   1.00   0.00 280.16   7.53
  26.73000   20.00 223.20   0.00   0.00   1.00   0.00 279.96   8.21
  26.29000   21.40 221.80   0.00   0.00   1.00   0.00 279.88   8.48
  25.29800   24.90 222.00   0.00   0.00   1.00   0.00 279.72   9.20
  24.38400   28.80 218.70   0.00   0.00   1.00   0.00 279.47   9.80
  23.77400   31.60 216.40   0.00   0.00   1.00   0.00 279.38  10.12
  23.20100   34.60 218.20   0.00   0.00   1.00   0.00 279.34  10.54
  22.45600   38.90 215.20   0.00   0.00   1.00   0.00 279.15  11.01
  21.03100   48.70 215.40   0.00   0.00   1.00   0.00 278.87  12.05
  20.72600   51.20 213.60   0.00   0.00   1.00   0.00 278.69  12.23
  20.04800   57.10 209.20   0.00   0.00   1.00   0.01 278.35  12.39
  19.92100   58.30 207.20   0.00   0.00   1.00   0.01 278.33  12.37
  19.25900   65.00 209.20   0.00   0.00   2.00   0.01 278.42  12.75
  19.08300   66.90 208.40   0.00   0.00   2.00   0.01 278.32  12.88
  18.94000   68.50 205.00   0.00   0.00   2.00   0.01 278.24  12.85
  18.81000   70.00 204.80   0.00   0.00   2.00   0.01 278.25  12.84
  18.68300   71.50 203.00   0.00   0.00   3.00   0.01 278.26  12.81
  18.04000   79.60 205.40   0.00   0.00   4.00   0.01 278.64  13.20
  17.59500   85.70 205.20   0.00   0.00   6.00   0.01 278.71  13.60
  17.27100   90.50 201.20   0.00   0.00   8.00   0.01 278.72  13.64
  16.68000  100.00 202.20   0.00   0.00   9.00   0.01 279.34  14.00
  15.64500  119.00 204.60   0.00   0.00   3.00   0.01 280.73  15.14
  15.24000  127.20 206.80   0.00   0.00   2.00   0.01 281.47  15.76
  14.63000  140.60 210.80   0.00   0.00   1.00   0.01 282.66  16.96
  14.23000  150.00 213.80   0.00   0.00   1.00   0.01 283.45  17.94
  13.66600  164.00 217.40   0.00   0.00   3.00   0.01 284.35  19.68
  13.47500  169.00 215.80   0.00   0.00   5.00   0.01 284.50  20.20
  12.86700  186.00 217.80   0.00   0.00   6.00   0.01 285.91  22.44
  12.40000  200.00 221.60   0.00   0.00   5.00   0.01 287.30  24.91
  12.19200  206.50 221.90   0.00   0.00   8.00   0.01 287.80  26.14
  11.93000  215.00 222.40   0.01   0.00  10.00   0.01 288.66  27.91
  10.93000  250.00 230.80   0.01   0.00   4.00   0.01 292.99  35.86
  10.36300  271.70 233.70   0.01   0.00   6.00   0.02 295.19  40.93
   9.75400  296.80 237.50   0.02   0.00   8.00   0.02 298.31  48.34
   9.22800  320.00 241.20   0.03   0.00   7.00   0.03 301.54  55.77
   8.83900  337.70 244.40   0.04   0.00   7.00   0.04 304.14  61.79
   7.64700  398.00 254.00   0.12   0.00  10.00   0.06 313.80  85.95
   7.49900  406.00 254.60   0.25   0.00  21.00   0.06 314.96  90.54
   7.01000  433.10 258.30   0.39   0.00  24.00   0.11 320.71 108.04
   6.09600  487.50 265.80   0.60   0.00  21.00   0.13 333.47 137.96
   5.76000  509.00 268.20   1.13   0.00  33.00   0.14 338.36 150.32
   5.35200  536.00 271.20   0.85   0.00  20.00   0.14 344.34 164.50
   5.14700  550.00 272.20   1.68   0.00  37.00   0.16 347.04 171.45
   4.87700  568.90 274.30   1.78   0.00  34.00   0.17 351.93 182.79
   3.96200  636.30 281.10   2.80   0.00  34.00   0.19 369.86 219.38
   3.17100  700.00 287.90   3.41   0.00  27.00   0.19 388.36 252.80
   3.11100  705.00 288.50   0.92   0.00   7.00   0.24 389.62 254.63
   2.74300  736.30 289.90   0.57   0.00   4.00   0.27 393.27 260.31
   2.45000  762.00 291.90   0.64   0.00   4.00   0.27 396.20 265.77
   2.13400  790.70 291.90   1.93   0.00  12.00   0.39 396.94 270.87
   1.82900  819.30 293.20   1.91   0.00  11.00   0.48 399.72 278.28
   1.51200  850.00 294.80   2.47   0.00  13.00   0.48 402.12 287.22
   1.07500  894.10 296.00   1.63   0.00   8.00   0.48 400.79 296.94
   1.05000  896.70 296.10   1.64   0.00   8.00   0.48 400.42 297.42
   1.02400  899.30 296.00   1.63   0.00   8.00   0.49 399.81 297.78
   0.99900  902.00 295.80   1.61   0.00   8.00   0.76 399.11 297.95
   0.97300  904.70 295.60   1.79   0.00   9.00   0.76 398.34 298.10
   0.94700  907.30 295.30   1.76   0.00   9.00   0.76 397.45 298.12
   0.92200  910.00 295.10   1.74   0.00   9.00   0.76 396.57 298.14
   0.89600  912.70 294.60   2.44   0.00  13.00   0.76 395.30 297.90
   0.87100  915.40 293.90   3.61   0.00  20.00   0.76 393.72 297.32
   0.84500  918.20 293.30   4.53   0.00  26.00   0.76 391.84 296.69
   0.81900  920.90 292.60   5.35   0.00  32.00   0.76 389.21 295.99
   0.79400  923.60 290.20   8.41   0.00  58.00   0.76 384.74 293.35
   0.76800  926.40 287.10  11.06   0.00  92.00   0.76 380.30 288.78
   0.74300  929.20 286.50  11.12   0.00  96.00   0.76 379.20 287.08
   0.71700  932.00 285.90  11.16   0.00  99.99   0.00 378.54 286.56
   0.00000    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
   0.00000    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
   0.00000    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
   0.00000    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
   0.00000    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
   0.00000    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
   0.00000    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
   0.00000    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
   0.00000    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
   0.00000    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
   0.00000    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
   0.00000    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
   0.00000    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
   0.00000    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
   0.00000    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
   0.00000    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
   0.00000    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
   0.00000    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
   0.00000    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
   0.00000    0.00   0.00   0.00   0.00   0.00*******   0.00   0.00
   0.00000    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
   0.00000    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
   0.00000    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
   0.00000    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
