 Sounding NKX 20170906-12UTC                                                     
      z       p      T     wv     O3     RH   Aer.  LW_up  LW_dn
 100.00000    0.00 210.70   0.00   0.00   0.00   0.00 280.44   0.00
  70.00000    0.07 219.10   0.00   0.00   0.00   0.00 280.44   0.01
  50.00000    0.95 276.20   0.00   0.00   0.00   0.00 280.55   0.41
  45.00000    1.76 269.70   0.00   0.00   0.00   0.00 280.39   1.05
  40.00000    3.33 257.50   0.00   0.00   0.00   0.00 280.05   1.99
  35.00000    6.52 245.30   0.00   0.00   0.01   0.00 279.47   3.35
  28.04200   16.40 224.80   0.00   0.00   1.00   0.00 277.96   6.87
  27.18500   18.70 226.20   0.00   0.00   1.00   0.00 277.90   7.56
  26.21300   21.70 225.50   0.00   0.00   1.00   0.00 277.70   8.46
  25.60300   23.80 224.80   0.00   0.00   1.00   0.00 277.54   9.02
  24.98500   26.10 224.20   0.00   0.00   1.00   0.00 277.32   9.59
  24.68900   27.30 222.70   0.00   0.00   1.00   0.00 277.20   9.83
  24.07900   30.00 219.60   0.00   0.00   1.00   0.00 276.99  10.22
  23.40900   33.30 219.60   0.00   0.00   1.00   0.00 276.79  10.70
  23.07300   35.10 216.20   0.00   0.00   1.00   0.00 276.64  10.85
  22.67200   37.40 216.00   0.00   0.00   1.00   0.00 276.55  11.05
  22.47300   38.60 214.20   0.00   0.00   1.00   0.00 276.50  11.12
  22.06200   41.20 215.60   0.00   0.00   1.00   0.00 276.44  11.38
  21.38900   45.90 210.40   0.00   0.00   1.00   0.00 276.21  11.59
  21.03100   48.60 211.20   0.00   0.00   1.00   0.00 276.25  11.74
  20.52300   52.80 212.20   0.00   0.00   1.00   0.01 276.24  12.10
  19.90000   58.40 211.20   0.00   0.00   2.00   0.02 276.05  12.56
  19.50700   62.30 208.60   0.00   0.00   2.00   0.02 275.93  12.79
  19.20200   65.50 206.90   0.00   0.00   3.00   0.02 275.90  12.92
  18.80000   70.00 206.20   0.00   0.00   5.00   0.02 275.90  13.15
  18.59300   72.50 205.20   0.00   0.00   6.00   0.02 275.87  13.27
  18.16900   77.80 201.00   0.00   0.00   8.00   0.02 275.90  13.32
  17.60300   85.60 202.80   0.00   0.00  11.00   0.02 276.29  13.73
  17.15300   92.40 199.20   0.00   0.00  12.00   0.02 276.50  13.92
  16.69000  100.00 200.80   0.00   0.00  15.00   0.02 277.13  14.31
  16.45800  104.00 202.40   0.00   0.00  16.00   0.02 277.45  14.69
  16.34600  106.00 201.40   0.00   0.00  15.00   0.02 277.57  14.82
  16.18100  109.00 202.60   0.00   0.00  18.00   0.02 277.83  15.09
  16.02000  112.00 202.20   0.00   0.00  18.00   0.02 278.05  15.33
  15.81100  116.00 203.40   0.00   0.00  22.00   0.02 278.39  15.74
  15.54500  121.30 201.70   0.00   0.00  21.00   0.02 278.80  16.11
  14.81600  137.00 207.80   0.00   0.00  11.00   0.01 280.72  17.91
  14.34300  148.00 210.40   0.00   0.00   6.00   0.01 281.77  19.26
  14.26000  150.00 210.20   0.00   0.00   6.00   0.01 281.94  19.45
  13.82200  161.00 213.40   0.00   0.00   5.00   0.01 283.08  20.79
  13.55500  168.00 214.40   0.00   0.00   6.00   0.02 283.77  21.68
  12.80200  189.00 220.10   0.00   0.00   4.00   0.02 286.21  24.92
  12.44000  200.00 222.80   0.00   0.00   4.00   0.02 287.45  26.83
  11.65600  225.00 229.20   0.00   0.00   4.00   0.02 290.36  32.26
  11.27800  237.90 230.90   0.01   0.00   5.00   0.02 291.66  35.41
  10.97300  248.80 233.20   0.01   0.00   4.00   0.03 292.86  38.20
  10.66800  260.10 234.40   0.01   0.00   5.00   0.03 293.96  41.04
  10.36300  271.90 236.00   0.01   0.00   6.00   0.03 295.31  44.32
   9.44900  309.80 243.00   0.03   0.00   6.00   0.04 300.40  56.81
   8.86800  336.00 247.00   0.03   0.00   5.00   0.06 303.13  65.59
   8.69800  344.00 246.00   0.09   0.00  16.00   0.07 303.61  68.62
   7.76000  391.00 253.40   0.19   0.00  17.00   0.11 312.58  92.88
   7.59000  400.00 254.60   0.23   0.00  19.00   0.11 314.37  97.55
   7.35100  413.00 256.40   0.14   0.00  10.00   0.14 316.80 103.06
   6.87500  440.00 259.40   0.05   0.00   3.00   0.21 319.99 110.18
   6.53700  460.00 260.20   0.26   0.00  14.00   0.21 321.75 115.86
   6.09600  487.40 262.10   0.83   0.00  38.00   0.23 325.91 130.56
   5.93100  498.00 263.40   0.82   0.00  34.00   0.26 328.15 137.45
   5.76200  509.00 264.60   1.16   0.00  44.00   0.26 330.28 144.56
   5.43200  531.00 266.00   1.43   0.00  49.00   0.26 333.98 157.73
   5.30100  540.00 266.40   2.64   0.00  88.00   0.27 335.78 163.71
   4.94500  565.00 269.40   3.02   0.00  81.00   0.31 344.37 184.93
   4.86100  571.00 270.00   3.65   0.00  94.00   0.31 346.46 189.71
   4.39900  605.00 274.30   3.78   0.00  72.00   0.32 359.95 215.65
   3.67600  661.00 280.80   4.93   0.00  61.00   0.34 379.98 248.38
   3.41700  682.00 283.30   4.74   0.00  50.00   0.34 387.09 260.06
   3.25900  695.00 284.30   6.26   0.00  62.00   0.35 390.92 266.78
   2.98500  718.00 287.10   5.29   0.00  44.00   0.49 398.74 279.99
   2.74300  738.80 288.30   6.85   0.00  53.00   0.49 403.59 289.67
   2.42500  767.00 290.90   7.41   0.00  49.00   0.49 412.53 304.91
   2.13400  793.40 293.80   5.38   0.00  30.00   0.70 420.27 318.65
   1.82900  821.80 294.80   5.71   0.00  30.00   0.87 423.97 328.13
   1.53600  850.00 296.30   6.43   0.00  31.00   0.87 428.58 338.28
   1.10400  893.00 298.90   6.72   0.00  28.00   1.08 433.98 354.84
   0.92900  911.00 298.80  10.03   0.00  42.00   1.39 431.68 360.32
   0.86200  918.00 297.50  12.65   0.00  57.00   1.39 428.31 360.59
   0.61400  944.40 295.40  15.36   0.00  78.00   1.39 419.51 364.75
   0.59900  946.00 295.10  15.48   0.00  80.00   1.39 418.50 364.84
   0.58400  947.60 294.70  15.69   0.00  83.00   1.39 417.42 364.71
   0.57000  949.20 294.40  16.17   0.00  87.00   1.39 416.50 364.58
   0.55500  950.80 294.00  16.34   0.00  90.00   1.39 415.50 364.34
   0.54000  952.40 293.70  16.59   0.00  93.00   1.39 414.67 364.18
   0.52600  954.00 293.40  16.48   0.00  94.00   1.39 413.95 364.02
   0.51100  955.60 293.20  16.46   0.00  95.00   1.39 413.35 364.00
   0.49700  957.30 293.00  16.44   0.00  96.00   1.39 412.80 364.01
   0.48200  958.90 292.80  16.42   0.00  97.00   1.39 412.25 364.06
   0.46700  960.50 292.60  16.23   0.00  97.00   1.39 411.72 364.13
   0.45300  962.10 292.40  16.20   0.00  98.00   1.39 411.24 364.16
   0.43800  963.80 292.20  16.18   0.00  99.00   1.39 410.78 364.22
   0.42400  965.40 292.00  15.99   0.00  99.00   1.39 410.40 364.30
   0.40900  967.00 291.80  15.96   0.00  99.99   0.00 410.07 364.38
   0.00000    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
   0.00000    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
   0.00000    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
   0.00000    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
   0.00000    0.00   0.00   0.00   0.00   0.00*******   0.00   0.00
   0.00000    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
   0.00000    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
   0.00000    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
   0.00000    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
