 Sounding NKX 20160614-12UTC                                                     
      z       p      T     wv     O3     RH   Aer.  LW_up  LW_dn
 100.00000    0.00 210.70   0.00   0.00   0.00   0.00 282.35   0.00
  70.00000    0.07 219.10   0.00   0.00   0.00   0.00 282.35   0.01
  50.00000    0.95 276.20   0.00   0.00   0.00   0.00 282.47   0.41
  45.00000    1.76 269.70   0.00   0.00   0.00   0.00 282.30   1.05
  40.00000    3.33 257.50   0.00   0.00   0.00   0.00 281.96   1.97
  31.39400    9.80 231.00   0.00   0.00   1.00   0.00 280.37   5.34
  31.28000   10.00 230.60   0.00   0.00   1.00   0.00 280.35   5.41
  31.01600   10.40 229.80   0.00   0.00   1.00   0.00 280.31   5.58
  30.88700   10.60 230.80   0.00   0.00   1.00   0.00 280.29   5.67
  30.34100   11.50 226.80   0.00   0.00   1.00   0.00 280.20   5.99
  30.11300   11.90 228.20   0.00   0.00   1.00   0.00 280.19   6.13
  29.56600   12.90 228.00   0.00   0.00   1.00   0.00 280.13   6.52
  29.07600   13.90 227.80   0.00   0.00   1.00   0.00 280.06   6.88
  28.48300   15.20 225.60   0.00   0.00   1.00   0.00 279.97   7.28
  28.04200   16.20 225.30   0.00   0.00   1.00   0.00 279.93   7.57
  27.29500   18.20 224.80   0.00   0.00   1.00   0.00 279.87   8.11
  26.73700   19.80 227.40   0.00   0.00   1.00   0.00 279.79   8.63
  26.51800   20.50 226.60   0.00   0.00   1.00   0.00 279.72   8.85
  26.21300   21.40 225.90   0.00   0.00   1.00   0.00 279.61   9.12
  25.71900   23.10 222.60   0.00   0.00   1.00   0.00 279.44   9.46
  25.23000   24.90 222.20   0.00   0.00   1.00   0.00 279.31   9.78
  24.97500   25.90 219.20   0.00   0.00   1.00   0.00 279.24   9.90
  24.38400   28.40 219.60   0.00   0.00   1.00   0.00 279.22  10.25
  23.77400   31.20 220.50   0.00   0.00   1.00   0.00 279.15  10.75
  23.47000   32.70 220.10   0.00   0.00   1.00   0.00 279.06  11.00
  22.56700   37.70 216.20   0.00   0.00   1.00   0.00 278.80  11.55
  22.25000   39.60 217.20   0.00   0.00   1.00   0.00 278.77  11.77
  21.47600   44.80 215.40   0.00   0.00   1.00   0.00 278.51  12.29
  20.92800   48.90 212.20   0.00   0.00   1.00   0.00 278.31  12.51
  20.79000   50.00 212.60   0.00   0.00   1.00   0.00 278.29  12.57
  20.48700   52.50 210.20   0.00   0.00   1.00   0.01 278.21  12.65
  19.79600   58.70 211.60   0.00   0.00   1.00   0.01 278.21  13.07
  19.20700   64.60 207.00   0.00   0.00   1.00   0.01 278.08  13.28
  18.79800   69.10 206.80   0.00   0.00   1.00   0.01 278.17  13.43
  18.65200   70.80 205.00   0.00   0.00   1.00   0.01 278.21  13.45
  18.28800   75.20 207.60   0.00   0.00   1.00   0.01 278.45  13.72
  17.67800   83.20 205.70   0.00   0.00   2.00   0.01 278.62  14.10
  17.37400   87.40 206.50   0.00   0.00   2.00   0.01 278.84  14.35
  17.06900   92.00 207.70   0.00   0.00   2.00   0.01 279.02  14.69
  16.38200  103.00 205.20   0.00   0.00   3.00   0.01 279.33  15.17
  16.09700  108.00 207.60   0.00   0.00   3.00   0.01 279.65  15.54
  15.87700  112.00 206.40   0.00   0.00   4.00   0.01 279.77  15.76
  15.71700  115.00 207.20   0.00   0.00   4.00   0.01 279.94  15.96
  15.51000  119.00 206.40   0.00   0.00   4.00   0.01 280.12  16.16
  15.26100  124.00 207.80   0.00   0.00   5.00   0.01 280.46  16.53
  14.97500  130.00 207.60   0.00   0.00   7.00   0.01 280.81  16.96
  14.70000  136.00 209.20   0.00   0.00   7.00   0.01 281.25  17.52
  14.52300  140.00 209.00   0.00   0.00   7.00   0.01 281.50  17.86
