 Sounding NKX 20170712-12UTC                                                     
      z       p      T     wv     O3     RH   Aer.  LW_up  LW_dn
 100.00000    0.00 210.70   0.00   0.00   0.00   0.00 275.52   0.00
  70.00000    0.07 219.10   0.00   0.00   0.00   0.00 275.52   0.01
  50.00000    0.95 276.20   0.00   0.00   0.00   0.00 275.63   0.42
  45.00000    1.76 269.70   0.00   0.00   0.00   0.00 275.48   1.06
  40.00000    3.33 257.50   0.00   0.00   0.00   0.00 275.16   1.99
  29.87000   12.50 227.60   0.00   0.00   1.00   0.00 273.12   6.29
  28.80500   14.70 229.00   0.00   0.00   1.00   0.00 272.99   7.09
  28.36600   15.70 226.60   0.00   0.00   1.00   0.00 272.89   7.43
  27.83800   17.00 227.40   0.00   0.00   1.00   0.00 272.80   7.84
  27.31600   18.40 223.80   0.00   0.00   1.00   0.00 272.66   8.19
  26.82200   19.80 224.00   0.00   0.00   1.00   0.00 272.59   8.52
  26.02900   22.40 221.00   0.00   0.00   1.00   0.00 272.46   9.00
  25.29800   25.10 222.30   0.00   0.00   1.00   0.00 272.40   9.53
  24.99400   26.30 222.20   0.00   0.00   1.00   0.00 272.33   9.79
  24.13000   30.00 219.60   0.00   0.00   1.00   0.00 272.10  10.43
  23.48400   33.20 216.40   0.00   0.00   1.00   0.00 271.98  10.77
  23.04100   35.60 218.00   0.00   0.00   1.00   0.00 271.96  11.09
  22.88300   36.50 216.40   0.00   0.00   1.00   0.00 271.91  11.19
  22.38300   39.50 216.80   0.00   0.00   1.00   0.00 271.85  11.54
  22.19400   40.70 214.80   0.00   0.00   1.00   0.00 271.81  11.64
  21.84800   43.00 216.60   0.00   0.00   1.00   0.00 271.81  11.91
  21.64100   44.40 215.80   0.00   0.00   1.00   0.00 271.74  12.07
  21.28800   47.00 214.40   0.00   0.00   1.00   0.00 271.66  12.29
  21.03100   49.00 215.00   0.00   0.00   1.00   0.00 271.61  12.48
  20.72600   51.40 213.50   0.00   0.00   1.00   0.00 271.50  12.66
  20.24700   55.50 211.60   0.00   0.00   1.00   0.01 271.39  12.88
  19.84500   59.20 212.20   0.00   0.00   1.00   0.02 271.37  13.16
  19.25700   65.10 209.20   0.00   0.00   1.00   0.02 271.31  13.52
  19.07000   67.10 210.20   0.00   0.00   1.00   0.02 271.34  13.67
  18.81000   70.00 208.80   0.00   0.00   1.00   0.02 271.28  13.83
  17.81500   82.60 202.80   0.00   0.00   3.00   0.02 271.30  14.07
  17.44600   87.90 204.00   0.00   0.00   5.00   0.02 271.58  14.30
  16.68000  100.00 202.60   0.00   0.00   7.00   0.02 272.11  14.85
  16.00600  112.00 204.40   0.00   0.00   8.00   0.02 272.88  15.65
  15.90000  114.00 203.80   0.00   0.00  10.00   0.02 272.98  15.78
  15.74500  117.00 204.60   0.00   0.00  10.00   0.02 273.18  16.01
  15.59300  120.00 203.40   0.00   0.00  10.00   0.02 273.33  16.17
  14.97900  133.00 205.00   0.00   0.00   7.00   0.01 274.42  17.03
  13.97000  157.00 210.00   0.00   0.00   6.00   0.02 276.72  19.24
  12.44000  200.00 221.60   0.00   0.00   2.00   0.02 281.47  24.98
  10.96000  250.00 232.20   0.00   0.00   2.00   0.03 286.83  33.70
  10.36300  272.60 236.60   0.00   0.00   2.00   0.03 289.19  38.83
   9.69000  300.00 240.60   0.01   0.00   2.00   0.04 291.66  45.38
   9.34600  315.00 242.00   0.08   0.00  19.00   0.04 293.14  53.20
   9.14400  324.10 243.40   0.19   0.00  40.00   0.05 294.69  62.95
   8.88700  336.00 245.80   0.19   0.00  34.00   0.07 297.01  73.94
   8.67600  346.00 246.80   0.42   0.00  67.00   0.07 298.89  82.35
   8.16800  371.00 251.40   0.54   0.00  58.00   0.10 305.63 101.75
   7.70400  395.00 255.40   0.49   0.00  38.00   0.12 311.38 115.47
   7.61000  400.00 256.20   0.33   0.00  24.00   0.12 312.16 117.64
   7.48000  407.00 256.20   0.82   0.00  60.00   0.12 312.96 120.62
   7.29700  417.00 256.80   0.86   0.00  60.00   0.12 315.09 125.97
   7.01000  433.10 259.30   1.09   0.00  62.00   0.22 319.78 135.28
   6.73400  449.00 261.80   0.85   0.00  40.00   0.22 324.36 144.20
   6.48100  464.00 263.40   0.48   0.00  20.00   0.22 327.21 149.85
   6.23400  479.00 264.80   0.77   0.00  29.00   0.24 329.41 154.93
   5.90000  500.00 265.20   1.70   0.00  62.00   0.28 332.31 163.12
   5.48600  527.20 268.50   2.03   0.00  58.00   0.28 339.99 178.26
   5.38500  534.00 269.20   2.31   0.00  63.00   0.28 341.75 182.07
   4.97900  562.00 272.00   2.86   0.00  64.00   0.33 349.24 197.66
   4.75500  578.00 273.30   3.57   0.00  73.00   0.33 353.59 206.50
   4.26700  613.90 277.30   3.98   0.00  62.00   0.34 365.41 227.59
   3.88900  643.00 280.30   4.14   0.00  53.00   0.37 373.81 242.67
   3.65800  661.20 281.30   5.17   0.00  62.00   0.37 378.04 250.87
   3.18400  700.00 285.10   5.31   0.00  50.00   0.46 390.01 270.48
   2.74300  737.60 288.80   6.00   0.00  45.00   0.52 400.79 289.60
   2.60100  750.00 289.50   6.68   0.00  48.00   0.52 403.38 295.37
   2.41000  767.00 290.90   5.60   0.00  37.00   0.52 407.20 303.17
   2.13400  792.10 292.20   7.35   0.00  45.00   0.66 411.03 313.20
   1.93100  811.00 293.10   6.89   0.00  40.00   0.93 413.12 320.79
   1.82900  820.60 292.80   7.79   0.00  46.00   0.93 413.06 323.35
   1.57700  845.00 293.50   9.35   0.00  53.00   0.93 415.83 332.13
   1.45500  857.00 294.50   8.60   0.00  46.00   0.93 417.99 337.84
   1.11700  891.00 295.10   8.90   0.00  46.00   1.19 419.33 348.68
   0.89500  914.00 295.80   9.47   0.00  47.00   1.49 419.95 356.21
   0.69200  935.70 295.60  10.36   0.00  52.00   1.49 417.47 361.63
   0.67500  937.50 295.60  10.36   0.00  52.00   1.49 417.14 362.08
   0.65900  939.20 295.60  10.56   0.00  53.00   1.49 416.75 362.50
   0.64200  941.00 295.60  10.56   0.00  53.00   1.49 416.15 362.96
   0.62600  942.80 295.30  11.16   0.00  57.00   1.49 415.22 363.04
