 Sounding NKX 20160825-12UTC                                                     
      z       p      T     wv     O3     RH   Aer.  LW_up  LW_dn
 100.00000    0.00 210.70   0.00   0.00   0.00   0.00 289.24   0.00
  70.00000    0.07 219.10   0.00   0.00   0.00   0.00 289.24   0.01
  50.00000    0.95 276.20   0.00   0.00   0.00   0.00 289.35   0.41
  45.00000    1.76 269.70   0.00   0.00   0.00   0.00 289.18   1.05
  40.00000    3.33 257.50   0.00   0.00   0.00   0.00 288.81   1.97
  32.91800    7.90 233.00   0.00   0.00   1.00   0.00 287.51   4.58
  32.61400    8.20 231.50   0.00   0.00   1.00   0.00 287.45   4.78
  31.87700    9.20 227.80   0.00   0.00   1.00   0.00 287.35   5.16
  31.09000   10.30 228.50   0.00   0.00   1.00   0.00 287.28   5.60
  30.62300   11.10 228.20   0.00   0.00   1.00   0.00 287.20   5.90
  29.57900   13.00 223.40   0.00   0.00   1.00   0.00 287.07   6.46
  28.65100   15.00 225.10   0.00   0.00   1.00   0.00 287.06   7.03
  27.65800   17.40 227.00   0.00   0.00   1.00   0.00 286.93   7.87
  26.97300   19.30 224.80   0.00   0.00   1.00   0.00 286.72   8.43
  26.82200   19.80 223.50   0.00   0.00   1.00   0.00 286.67   8.53
  26.61100   20.40 222.00   0.00   0.00   1.00   0.00 286.62   8.64
  25.16300   25.50 220.40   0.00   0.00   1.00   0.00 286.37   9.58
  24.63100   27.70 218.20   0.00   0.00   1.00   0.00 286.28   9.90
  24.14100   29.90 219.00   0.00   0.00   1.00   0.00 286.24  10.24
  23.10200   35.20 216.20   0.00   0.00   1.00   0.00 286.05  10.92
  21.94600   42.30 216.00   0.00   0.00   1.00   0.00 285.90  11.75
  21.48100   45.50 213.60   0.00   0.00   1.00   0.00 285.79  12.01
  21.22400   47.40 214.60   0.00   0.00   1.00   0.00 285.77  12.19
  20.89000   50.00 213.20   0.00   0.00   1.00   0.00 285.68  12.39
  20.33000   54.70 211.60   0.00   0.00   1.00   0.00 285.63  12.67
  20.03000   57.40 213.40   0.00   0.00   1.00   0.01 285.63  12.93
  19.81200   59.40 211.40   0.00   0.00   1.00   0.01 285.57  13.08
  19.33300   64.20 212.20   0.00   0.00   1.00   0.01 285.57  13.48
  18.55500   72.90 206.20   0.00   0.00   2.00   0.01 285.39  13.75
  18.21700   77.10 207.60   0.00   0.00   2.00   0.01 285.55  13.95
