 Sounding NKX 20170927-12UTC                                                     
      z       p      T     wv     O3     RH   Aer.  LW_up  LW_dn
 100.00000    0.00 210.70   0.00   0.00   0.00   0.00 286.06   0.00
  70.00000    0.07 219.10   0.00   0.00   0.00   0.00 286.06   0.01
  50.00000    0.95 276.20   0.00   0.00   0.00   0.00 286.17   0.41
  45.00000    1.76 269.70   0.00   0.00   0.00   0.00 286.01   1.04
  40.00000    3.33 257.50   0.00   0.00   0.00   0.00 285.66   1.96
  31.19000   10.00 229.60   0.00   0.00   1.00   0.00 283.93   5.26
  31.05700   10.20 229.80   0.00   0.00   1.00   0.00 283.91   5.34
  30.48000   11.10 226.90   0.00   0.00   1.00   0.00 283.78   5.66
  29.76000   12.40 223.20   0.00   0.00   1.00   0.00 283.69   5.98
  28.46600   15.10 224.60   0.00   0.00   1.00   0.00 283.61   6.72
  27.43200   17.70 222.30   0.00   0.00   1.00   0.00 283.47   7.37
  27.12700   18.50 222.10   0.00   0.00   1.00   0.00 283.44   7.56
  26.21300   21.30 222.70   0.00   0.00   1.00   0.00 283.30   8.22
  26.22000   21.30 222.80   0.00   0.00   1.00   0.00 283.30   8.22
  26.09900   21.70 220.80   0.00   0.00   1.00   0.00 283.26   8.30
  25.90800   22.40 220.60   0.00   0.00   1.00   0.00 283.23   8.41
  25.44900   24.00 220.00   0.00   0.00   1.00   0.00 283.15   8.70
  25.21300   24.90 218.20   0.00   0.00   1.00   0.00 283.12   8.82
  24.62300   27.30 219.80   0.00   0.00   1.00   0.00 283.08   9.23
  24.21400   29.10 217.60   0.00   0.00   1.00   0.00 283.00   9.50
  24.07900   29.70 217.90   0.00   0.00   1.00   0.00 282.99   9.58
  23.64700   31.80 218.40   0.00   0.00   1.00   0.00 282.94   9.91
  22.80500   36.30 215.20   0.00   0.00   1.00   0.00 282.77  10.43
  21.94600   41.60 215.60   0.00   0.00   1.00   0.00 282.70  11.02
  21.64100   43.60 214.50   0.00   0.00   1.00   0.00 282.62  11.22
  21.14900   47.20 212.60   0.00   0.00   1.00   0.00 282.55  11.47
  20.23300   54.70 211.80   0.00   0.00   1.00   0.01 282.60  11.99
  19.64600   60.10 214.00   0.00   0.00   1.00   0.01 282.68  12.58
  19.33300   63.20 211.80   0.00   0.00   1.00   0.01 282.62  12.81
  18.88900   67.90 212.00   0.00   0.00   1.00   0.01 282.64  13.15
  18.48300   72.50 210.00   0.00   0.00   2.00   0.01 282.64  13.40
  18.06300   77.60 211.60   0.00   0.00   2.00   0.01 282.73  13.83
  17.32700   87.50 206.00   0.00   0.00   3.00   0.01 282.72  14.11
  16.51000  100.00 211.20   0.00   0.00   3.00   0.01 283.50  15.16
  16.44900  101.00 211.00   0.00   0.00   3.00   0.01 283.49  15.26
  16.38800  102.00 209.40   0.00   0.00   3.00   0.01 283.48  15.30
  16.09500  107.00 210.40   0.00   0.00   3.00   0.01 283.70  15.65
