      z       p      T     wv     O3     RH   Aer.  LW_up  LW_dn
 100.00    0.00 210.70   0.00   0.00   0.00   0.00 267.88   0.00
  70.00    0.07 219.10   0.00   0.00   0.00   0.00 267.89   0.01
  50.00    0.95 276.20   0.00   0.00   0.00   0.00 268.00   0.41
  45.00    1.76 269.70   0.00   0.00   0.00   0.00 267.84   1.05
  40.00    3.33 257.50   0.00   0.00   0.00   0.00 267.52   1.97
  30.48   11.20 229.90   0.00   0.00   1.00   0.00 265.71   5.90
  30.18   11.70 229.90   0.00   0.00   1.00   0.00 265.67   6.10
  29.57   12.80 229.70   0.00   0.00   1.00   0.00 265.59   6.57
  28.96   14.10 229.50   0.00   0.00   1.00   0.00 265.48   7.08
  28.35   15.40 227.20   0.00   0.00   1.00   0.00 265.35   7.54
  28.35   15.40 227.20   0.00   0.00   1.00   0.00 265.35   7.54
  27.74   16.90 226.60   0.00   0.00   1.00   0.00 265.24   7.99
  27.31   18.00 226.20   0.00   0.00   1.00   0.00 265.16   8.31
  26.62   20.00 224.00   0.00   0.00   1.00   0.00 265.00   8.79
  25.91   22.30 222.00   0.00   0.00   1.00   0.00 264.88   9.23
  25.30   24.50 222.70   0.00   0.00   1.00   0.00 264.80   9.67
  24.38   28.20 220.70   0.00   0.00   1.00   0.00 264.58  10.35
  24.08   29.50 219.30   0.00   0.00   1.00   0.00 264.51  10.54
  23.77   31.00 219.10   0.00   0.00   1.00   0.00 264.45  10.73
  23.47   32.50 218.20   0.00   0.00   1.00   0.00 264.37  10.92
  22.86   35.80 215.30   0.00   0.00   1.00   0.00 264.26  11.22
  22.55   37.50 215.70   0.00   0.00   1.00   0.00 264.26  11.39
  22.25   39.40 215.10   0.00   0.00   1.00   0.00 264.24  11.57
  21.95   41.30 215.00   0.00   0.00   1.00   0.00 264.23  11.76
  21.34   45.50 214.00   0.00   0.00   1.00   0.00 264.19  12.13
  21.03   47.80 213.20   0.00   0.00   1.00   0.00 264.19  12.31
  20.70   50.40 214.80   0.00   0.00   1.00   0.00 264.22  12.58
  20.16   55.00 212.40   0.00   0.00   1.00   0.01 264.11  12.93
  19.30   63.10 211.60   0.00   0.00   1.00   0.02 264.24  13.55
  18.47   72.20 209.60   0.00   0.00   1.00   0.02 264.44  14.11
  18.07   77.10 209.60   0.00   0.00   1.00   0.02 264.68  14.41
  16.25  103.00 213.80   0.00   0.00   1.00   0.02 266.13  16.68
  15.62  114.00 216.00   0.00   0.00   1.00   0.02 266.65  17.80
  15.24  121.00 216.10   0.00   0.00   1.00   0.01 266.85  18.43
  14.69  132.00 217.40   0.00   0.00   1.00   0.01 267.09  19.41
  14.23  142.00 214.60   0.00   0.00   1.00   0.01 267.11  19.82
  14.02  146.70 216.00   0.00   0.00   2.00   0.01 267.34  20.14
  13.88  150.00 216.20   0.00   0.00   2.00   0.01 267.42  20.42
  13.41  161.50 215.60   0.00   0.00   3.00   0.01 267.69  21.22
  13.01  172.00 216.20   0.00   0.00   6.00   0.01 268.03  22.20
  12.76  179.00 215.00   0.00   0.00  11.00   0.01 268.23  22.93
  12.32  192.00 215.80   0.00   0.00  18.00   0.01 269.08  24.92
  12.06  200.00 216.00   0.00   0.00  15.00   0.02 269.68  26.17
  11.28  226.10 219.60   0.01   0.00  13.00   0.02 272.19  30.39
  10.63  250.00 224.00   0.01   0.00  10.00   0.03 274.77  34.80
   9.78  284.00 229.40   0.02   0.00  14.00   0.03 278.83  42.69
   9.41  300.00 232.20   0.02   0.00  11.00   0.05 281.00  47.01
   7.92  371.10 244.00   0.03   0.00   7.00   0.10 291.13  66.58
   7.62  387.40 245.90   0.03   0.00   5.00   0.10 293.03  70.94
   7.37  401.00 247.00   0.03   0.00   4.00   0.10 294.39  73.92
   7.11  416.00 248.80   0.14   0.00  19.00   0.14 296.45  79.36
   6.85  431.00 250.40   0.17   0.00  20.00   0.18 299.41  87.53
   6.29  465.00 255.20   0.09   0.00   7.00   0.20 305.79 100.65
   5.75  499.00 258.40   0.20   0.00  12.00   0.22 311.07 111.79
   5.18  538.00 262.80   0.21   0.00   9.00   0.24 317.95 126.07
   4.91  557.00 264.80   0.45   0.00  17.00   0.27 321.39 134.10
   4.88  559.60 265.10   0.41   0.00  15.00   0.27 321.94 135.39
   4.73  570.00 266.40   0.30   0.00  10.00   0.27 323.79 139.83
   4.52  586.00 267.40   0.68   0.00  21.00   0.27 326.31 146.64
   4.08  619.00 271.20   0.59   0.00  14.00   0.29 332.83 162.36
   3.72  648.00 272.80   0.76   0.00  16.00   0.29 336.21 173.09
