      z       p      T     wv     O3     RH   Aer.  LW_up  LW_dn
 100.00    0.00 210.70   0.00   0.00   0.00   0.00 278.85   0.00
  70.00    0.07 219.10   0.00   0.00   0.00   0.00 278.86   0.01
  50.00    0.95 276.20   0.00   0.00   0.00   0.00 278.97   0.41
  45.00    1.76 269.70   0.00   0.00   0.00   0.00 278.81   1.04
  40.00    3.33 257.50   0.00   0.00   0.00   0.00 278.48   1.95
  35.00    6.52 245.30   0.00   0.00   0.00   0.00 277.94   3.26
  30.00   13.20 234.20   0.00   0.00   0.02   0.00 277.17   5.22
  25.00   27.70 224.20   0.00   0.00   0.12   0.00 276.21   7.95
  20.00   59.50 218.20   0.00   0.00   0.53   0.01 275.56  11.70
  15.00  130.00 215.80   0.00   0.00   1.56   0.00 276.45  17.45
  14.00  153.00 215.80   0.00   0.00   1.85   0.00 277.14  18.86
  13.00  179.00 216.90   0.00   0.00   2.71   0.00 278.47  20.78
  12.00  209.00 222.30   0.00   0.00   5.69   0.01 281.06  25.07
  11.00  243.00 228.80   0.01   0.00   9.58   0.01 284.63  33.78
  10.00  281.00 235.20   0.03   0.00  14.75   0.01 289.34  47.24
   9.00  324.00 241.70   0.06   0.00  14.63   0.02 295.34  63.16
   8.00  372.00 248.20   0.10   0.00  14.61   0.03 302.52  80.30
   7.00  426.00 254.70   0.18   0.00  14.98   0.06 311.07  99.55
   6.00  487.00 261.00   0.30   0.00  14.96   0.07 320.97 121.10
   5.00  554.00 267.10   0.49   0.00  15.58   0.09 332.10 144.77
   4.00  628.00 273.00   0.93   0.00  19.38   0.09 345.54 171.85
   3.00  714.30 281.75   1.30   0.00  15.16   0.14 364.71 206.07
   2.62  747.40 284.65   1.35   0.00  13.04   0.14 371.25 219.39
   2.23  782.10 287.45   1.39   0.00  11.34   0.18 377.21 232.04
   1.85  818.20 290.05   1.44   0.00  10.00   0.24 382.18 244.32
   1.46  856.20 292.35   1.49   0.00   9.02   0.24 385.32 256.16
   1.06  897.50 293.95   1.56   0.00   8.59   0.24 383.64 266.83
   1.04  900.10 293.95   1.56   0.00   8.61   0.24 383.08 267.37
   1.01  902.60 293.95   1.56   0.00   8.64   0.31 382.40 267.86
   0.99  905.20 293.85   1.56   0.00   8.68   0.39 381.59 268.27
   0.96  907.70 293.85   1.57   0.00   8.74   0.39 380.68 268.71
   0.94  910.30 293.75   1.58   0.00   8.82   0.39 379.48 269.08
   0.92  912.90 293.55   1.58   0.00   8.94   0.39 377.95 269.33
   0.89  915.50 293.35   1.59   0.00   9.11   0.39 375.86 269.50
   0.87  918.10 292.85   1.60   0.00   9.40   0.39 372.17 269.39
   0.84  920.70 291.65   1.61   0.00  10.16   0.39 364.65 262.22
   0.82  923.30 283.55   9.63   0.00  99.99   0.39 366.66 325.68
   0.80  925.90 283.65   9.69   0.00  99.99   0.39 367.91 348.56
   0.77  928.50 283.75   9.75   0.00  99.99   0.39 368.62 354.35
   0.75  931.10 283.85   9.82   0.00  99.99   0.39 369.32 356.14
   0.72  933.70 284.05   9.94   0.00  99.99   0.39 370.15 357.32
   0.70  936.40 284.15  10.00   0.00  99.99   0.39 370.70 358.17
   0.68  939.00 284.25  10.07   0.00  99.99   0.39 371.34 358.86
   0.65  941.70 284.35  10.13   0.00  99.99   0.39 372.36 359.54
   0.63  944.40 284.45  10.19   0.00  99.99   0.39 375.09 360.27
   0.60  947.00 284.55  10.26   0.00  99.99   0.39 385.21 361.31
   0.60  947.60 284.65  10.30   0.00  99.78   0.39 385.41 361.43
   0.40  969.80 286.55  10.47   0.00  90.15   0.39 391.91 367.17
   0.20  993.00 288.45  10.62   0.00  81.35   0.39 397.85 373.92
   0.00 1016.80 290.35  10.75   0.00  73.47   0.00 402.57 381.17
   0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
   0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
   0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
   0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
   0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
   0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
   0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
   0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
   0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
   0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
   0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
   0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
   0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
   0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
   0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
   0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
   0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
   0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
   0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
   0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
   0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
   0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
   0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
   0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
   0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
   0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
   0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
   0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
   0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
   0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
   0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
   0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
   0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
   0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
   0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
   0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
   0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
   0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
   0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
   0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
   0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
   0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
   0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
   0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
   0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
   0.00    0.00   0.00   0.00   0.00   0.00*******   0.00   0.00
   0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
   0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
   0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
   0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
