 Sounding NKX 20160829-12UTC                                                     
      z       p      T     wv     O3     RH   Aer.  LW_up  LW_dn
 100.00000    0.00 210.70   0.00   0.00   0.00   0.00 299.39   0.00
  70.00000    0.07 219.10   0.00   0.00   0.00   0.00 299.39   0.01
  50.00000    0.95 276.20   0.00   0.00   0.00   0.00 299.50   0.41
  45.00000    1.76 269.70   0.00   0.00   0.00   0.00 299.34   1.05
  40.00000    3.33 257.50   0.00   0.00   0.00   0.00 299.01   1.97
  35.00000    6.52 245.30   0.00   0.00   0.01   0.00 298.49   3.30
  25.70400   23.50 219.60   0.00   0.00   1.00   0.00 296.03   8.01
  25.17600   25.50 220.60   0.00   0.00   1.00   0.00 295.98   8.32
  24.38400   28.80 218.40   0.00   0.00   1.00   0.00 295.84   8.82
  24.13000   30.00 218.80   0.00   0.00   1.00   0.00 295.82   8.99
  22.70800   37.50 217.40   0.00   0.00   1.00   0.00 295.48  10.04
  22.47600   38.90 215.20   0.00   0.00   1.00   0.00 295.38  10.15
  21.86400   42.90 212.80   0.00   0.00   1.00   0.00 295.27  10.39
  21.33600   46.70 213.20   0.00   0.00   1.00   0.00 295.25  10.69
  21.03100   49.00 213.00   0.00   0.00   1.00   0.00 295.20  10.89
  20.81100   50.80 211.60   0.00   0.00   1.00   0.00 295.15  10.99
  20.26300   55.50 211.80   0.00   0.00   1.00   0.00 295.10  11.32
  20.03300   57.60 209.80   0.00   0.00   1.00   0.01 295.06  11.41
  19.54000   62.40 211.20   0.00   0.00   1.00   0.01 295.17  11.79
  19.35500   64.30 210.40   0.00   0.00   1.00   0.01 295.17  11.93
  19.11800   66.80 212.20   0.00   0.00   1.00   0.01 295.17  12.19
  18.83000   70.00 208.60   0.00   0.00   2.00   0.01 295.01  12.34
  18.59300   72.80 207.10   0.00   0.00   2.00   0.01 295.00  12.40
  18.13500   78.50 206.20   0.00   0.00   3.00   0.01 295.17  12.60
  17.65800   84.90 209.20   0.00   0.00   4.00   0.01 295.40  13.21
  17.15800   92.20 205.00   0.00   0.00   6.00   0.01 295.32  13.56
  16.20900  108.00 204.00   0.00   0.00   8.00   0.01 295.96  14.30
  15.67800  118.00 205.40   0.00   0.00   9.00   0.01 296.59  15.03
  15.47700  122.00 204.80   0.00   0.00   8.00   0.01 296.83  15.28
  15.24000  126.90 206.20   0.00   0.00   7.00   0.01 297.23  15.66
  14.38600  146.00 209.20   0.00   0.00   7.00   0.01 298.66  17.43
  13.71600  162.70 212.20   0.00   0.00   6.00   0.01 300.06  19.24
  13.18800  177.00 215.60   0.00   0.00   7.00   0.01 301.36  21.22
  12.49700  197.30 218.30   0.00   0.00  13.00   0.01 303.18  24.82
  12.19200  206.90 219.30   0.01   0.00  16.00   0.01 304.25  26.89
  10.97300  249.10 229.00   0.01   0.00   9.00   0.02 310.33  37.47
   9.70000  300.00 239.00   0.02   0.00   6.00   0.02 318.08  51.34
   9.14400  324.20 243.80   0.02   0.00   5.00   0.03 321.99  58.73
   8.29600  365.00 251.20   0.04   0.00   4.00   0.04 328.16  71.77
   8.00000  380.00 252.00   0.06   0.00   6.00   0.06 329.93  76.70
   7.62000  400.00 254.60   0.06   0.00   5.00   0.06 333.23  83.74
   7.01000  433.70 258.60   0.05   0.00   3.00   0.12 338.26  93.76
   6.09600  488.10 265.40   0.11   0.00   4.00   0.14 346.94 111.86
   5.87900  502.00 267.00   0.13   0.00   4.00   0.15 348.83 117.19
   5.10300  554.00 271.00   0.63   0.00  15.00   0.17 357.00 143.00
   4.57200  591.90 275.30   0.73   0.00  13.00   0.18 365.42 165.19
   4.26700  614.80 277.30   0.71   0.00  11.00   0.19 369.31 175.83
   3.73800  656.00 280.10   1.62   0.00  21.00   0.20 375.43 195.54
   3.61300  666.00 279.80   3.41   0.00  45.00   0.20 376.51 201.71
   3.20200  700.00 283.80   3.91   0.00  40.00   0.26 387.56 229.02
   2.43800  766.30 290.50   5.46   0.00  37.00   0.28 408.04 271.95
   2.22100  786.00 292.50   3.99   0.00  24.00   0.28 413.54 282.62
   2.06900  800.00 293.50   5.29   0.00  30.00   0.44 416.63 289.12
   1.82900  822.50 295.50   4.55   0.00  23.00   0.50 422.13 300.42
   1.54300  850.00 297.50   4.22   0.00  19.00   0.50 427.16 312.07
   1.45100  859.00 298.10   4.36   0.00  19.00   0.50 428.35 315.63
   1.20000  884.00 299.10   4.86   0.00  20.00   0.50 429.95 324.24
   1.08200  896.00 299.10   4.13   0.00  17.00   0.73 429.74 327.10
   0.71700  934.00 300.10   7.70   0.00  30.00   0.80 427.31 339.10
   0.61000  945.50 296.90  12.66   0.00  59.00   0.80 417.66 337.59
   0.50900  956.70 293.60  14.01   0.00  79.00   0.80 407.95 334.17
   0.50200  957.50 293.30  14.12   0.00  81.00   0.80 407.28 333.85
   0.49500  958.30 293.10  14.13   0.00  82.00   0.80 406.70 333.60
   0.48800  959.00 292.90  14.30   0.00  84.00   0.80 406.10 333.38
   0.48100  959.80 292.60  14.22   0.00  85.00   0.80 405.46 333.08
   0.47400  960.60 292.40  14.38   0.00  87.00   0.80 404.91 332.83
   0.46700  961.40 292.20  14.38   0.00  88.00   0.80 404.35 332.60
   0.46000  962.20 291.90  14.29   0.00  89.00   0.80 403.74 332.29
   0.45300  962.90 291.70  14.44   0.00  91.00   0.80 403.23 332.03
   0.44600  963.70 291.40  14.34   0.00  92.00   0.80 402.68 331.70
   0.43900  964.50 291.20  14.48   0.00  94.00   0.80 402.25 331.42
   0.43200  965.30 291.00  14.46   0.00  95.00   0.80 401.81 331.18
   0.42500  966.10 290.70  14.35   0.00  96.00   0.80 401.37 330.85
   0.41800  966.80 290.50  14.47   0.00  98.00   0.80 401.07 330.58
   0.41100  967.60 290.30  14.45   0.00  99.00   0.80 400.83 330.35
   0.40300  968.40 290.20  14.51   0.00  99.99   0.80 400.76 330.21
   0.39600  969.20 290.20  14.51   0.00  99.99   0.80 401.64 341.37
   0.38900  970.00 290.30  14.45   0.00  99.00   0.80 402.21 348.04
   0.38200  970.80 290.30  14.45   0.00  99.00   0.80 402.69 354.00
   0.37500  971.60 290.40  14.53   0.00  99.00   0.80 403.21 359.38
   0.36800  972.40 290.40  14.53   0.00  99.00   0.80 403.65 364.11
   0.36100  973.20 290.50  14.47   0.00  98.00   0.80 404.13 368.35
   0.35400  974.10 290.50  14.47   0.00  98.00   0.80 404.52 372.03
   0.34700  974.90 290.50  14.47   0.00  98.00   0.80 404.97 375.23
   0.34000  975.70 290.60  14.56   0.00  98.00   0.80 405.49 378.14
   0.33300  976.50 290.60  14.56   0.00  98.00   0.80 405.96 380.66
   0.32600  977.30 290.70  14.50   0.00  97.00   0.80 406.50 382.97
   0.31900  978.10 290.70  14.50   0.00  97.00   0.80 407.01 384.95
   0.31200  978.90 290.80  14.59   0.00  97.00   0.80 407.60 386.78
   0.30500  979.70 290.80  14.59   0.00  97.00   0.80 408.17 388.35
   0.13700  999.00 291.90  14.61   0.00  91.00   0.00 411.19 393.03
   0.00000    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
   0.00000    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
   0.00000    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
   0.00000    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
   0.00000    0.00   0.00   0.00   0.00   0.00*******   0.00   0.00
   0.00000    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
   0.00000    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
   0.00000    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
   0.00000    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
