 Sounding NKX 20140508-12UTC                                                     
      z       p      T     wv     O3     RH   Aer.  LW_up  LW_dn
 100.00000    0.00 210.70   0.00   0.00   0.00   0.00 258.71   0.00
  70.00000    0.07 219.10   0.00   0.00   0.00   0.00 258.72   0.01
  50.00000    0.95 276.20   0.00   0.00   0.00   0.00 258.83   0.41
  45.00000    1.76 269.70   0.00   0.00   0.00   0.00 258.67   1.04
  40.00000    3.33 257.50   0.00   0.00   0.00   0.00 258.34   1.95
  35.00000    6.52 245.30   0.00   0.00   0.00   0.00 257.80   3.26
  30.00000   13.20 234.20   0.00   0.00   0.02   0.00 257.02   5.22
  25.00000   27.70 224.20   0.00   0.00   0.12   0.00 256.03   7.96
  20.00000   59.50 218.20   0.00   0.00   0.53   0.01 255.24  11.73
  14.55200  132.00 213.80   0.00   0.00   2.00   0.00 255.31  17.51
  14.45700  134.00 213.40   0.00   0.00   2.00   0.00 255.32  17.59
  14.09400  142.00 213.20   0.00   0.00   2.00   0.00 255.51  17.95
  13.87700  147.00 214.60   0.00   0.00   2.00   0.01 255.69  18.32
  13.04100  168.00 214.40   0.00   0.00   4.00   0.01 255.85  19.79
  12.68100  178.00 212.00   0.00   0.00   8.00   0.01 255.82  20.29
  12.24400  191.00 213.00   0.00   0.00  19.00   0.01 256.18  21.73
  12.02200  198.00 210.20   0.00   0.00  33.00   0.01 256.22  22.47
  11.37300  220.00 211.20   0.01   0.00  62.00   0.01 258.10  26.00
  10.72500  244.00 216.80   0.01   0.00  27.00   0.01 261.28  30.82
  10.09500  269.00 222.60   0.01   0.00  23.00   0.01 264.59  36.32
   9.44900  296.50 228.40   0.03   0.00  24.00   0.01 268.47  44.00
   9.14400  310.10 231.30   0.03   0.00  22.00   0.02 270.41  48.41
   7.74800  379.00 243.60   0.16   0.00  34.00   0.04 282.99  75.70
   7.36000  400.00 247.40   0.14   0.00  21.00   0.04 287.13  84.77
   7.02300  419.00 250.20   0.20   0.00  24.00   0.07 290.22  92.20
   6.70600  437.50 251.70   0.41   0.00  43.00   0.07 293.36 100.53
   6.53100  448.00 253.00   0.43   0.00  41.00   0.07 295.83 105.82
   6.33600  460.00 254.40   0.37   0.00  31.00   0.07 298.59 110.99
   5.94000  485.00 257.60   0.31   0.00  20.00   0.09 303.93 119.98
   5.71000  500.00 259.00   0.34   0.00  20.00   0.09 306.85 124.72
   5.35200  524.00 261.80   0.26   0.00  12.00   0.09 311.67 131.92
   5.15000  538.00 263.60   0.37   0.00  15.00   0.10 314.47 136.30
   4.87700  557.20 265.50   0.22   0.00   8.00   0.11 317.86 141.81
   4.57200  579.50 267.80   0.27   0.00   8.00   0.11 321.32 147.58
   4.26700  602.10 269.50   0.26   0.00   7.00   0.11 324.34 153.28
   3.24100  685.00 275.50   0.28   0.00   5.00   0.12 333.69 172.55
   3.06600  700.00 275.80   0.58   0.00  10.00   0.16 334.52 176.12
   2.61600  740.00 277.50   0.59   0.00   9.00   0.17 337.29 186.67
   2.45300  755.00 277.10   0.63   0.00  10.00   0.17 337.57 189.32
   2.23000  776.00 278.50   1.32   0.00  19.00   0.17 339.62 195.61
   2.04200  794.00 278.80   3.97   0.00  56.00   0.28 340.65 205.02
   1.76800  821.00 280.10   2.55   0.00  33.00   0.30 343.45 219.43
   1.49600  848.60 281.90   3.47   0.00  40.00   0.30 345.73 230.90
   1.47600  850.60 282.00   3.49   0.00  40.00   0.30 345.69 231.79
   1.45600  852.70 282.00   3.49   0.00  40.00   0.30 345.58 232.58
   1.43600  854.80 282.10   3.51   0.00  40.00   0.30 345.49 233.39
   1.41600  856.90 282.10   3.51   0.00  40.00   0.30 345.32 234.12
   1.39600  859.00 282.20   3.54   0.00  40.00   0.30 345.14 234.89
   1.37600  861.10 282.20   3.54   0.00  40.00   0.30 344.85 235.60
   1.35600  863.10 282.30   3.56   0.00  40.00   0.30 344.49 236.34
   1.33500  865.20 282.30   3.56   0.00  40.00   0.30 343.76 237.05
   1.31500  867.30 281.70   3.85   0.00  45.00   0.30 342.52 237.22
   1.29500  869.40 280.80   4.20   0.00  52.00   0.30 341.10 236.89
   1.27500  871.50 279.80   4.54   0.00  60.00   0.30 339.79 236.22
   1.25500  873.60 279.00   4.88   0.00  68.00   0.30 338.89 235.54
   1.23500  875.80 278.70   5.63   0.00  80.00   0.30 338.44 235.31
   1.21500  877.90 278.30   6.24   0.00  91.00   0.30 338.03 235.31
   1.19500  880.10 278.20   6.61   0.00  97.00   0.30 337.99 235.42
   1.17500  882.30 278.40   6.70   0.00  97.00   0.30 341.85 317.88
   1.15500  884.50 278.50   6.67   0.00  96.00   0.30 342.64 327.34
   1.13500  886.70 278.60   6.72   0.00  96.00   0.30 343.34 330.05
