 Sounding NKX 20160610-12UTC                                                     
      z       p      T     wv     O3     RH   Aer.  LW_up  LW_dn
 100.00000    0.00 210.70   0.00   0.00   0.00   0.00 273.34   0.00
  70.00000    0.07 219.10   0.00   0.00   0.00   0.00 273.35   0.01
  50.00000    0.95 276.20   0.00   0.00   0.00   0.00 273.46   0.41
  45.00000    1.76 269.70   0.00   0.00   0.00   0.00 273.30   1.04
  40.00000    3.33 257.50   0.00   0.00   0.00   0.00 272.97   1.97
  35.00000    6.52 245.30   0.00   0.00   0.01   0.00 272.44   3.29
  30.00000   13.20 234.20   0.00   0.00   0.03   0.00 271.70   5.30
  20.31300   54.00 212.20   0.00   0.00   1.00   0.01 268.36  11.17
  19.50700   61.60 208.60   0.00   0.00   1.00   0.01 268.21  11.29
  19.20200   64.70 209.30   0.00   0.00   1.00   0.01 268.27  11.42
  18.89800   68.00 210.00   0.00   0.00   1.00   0.01 268.27  11.64
  18.38100   74.00 207.20   0.00   0.00   2.00   0.01 268.08  11.87
  18.11800   77.30 204.20   0.00   0.00   3.00   0.01 268.02  11.85
  17.46800   86.20 202.60   0.00   0.00   3.00   0.01 268.32  11.94
  16.17000  107.00 207.60   0.00   0.00   2.00   0.01 269.61  13.32
  15.52200  119.00 208.00   0.00   0.00   1.00   0.01 270.23  14.10
  14.55800  139.00 215.40   0.00   0.00   2.00   0.01 271.42  16.33
  14.33500  144.00 214.80   0.00   0.00   5.00   0.01 271.27  16.99
  14.16300  148.00 211.80   0.00   0.00   9.00   0.01 271.07  17.34
  14.03900  151.00 210.20   0.00   0.00  12.00   0.01 271.09  17.53
  13.91800  154.00 210.80   0.00   0.00  14.00   0.01 271.24  17.86
  13.31000  170.00 210.00   0.00   0.00  25.00   0.01 272.00  19.98
  13.10600  175.70 211.10   0.00   0.00  31.00   0.01 272.49  20.98
  12.85500  183.00 211.40   0.01   0.00  34.00   0.01 273.12  22.34
  12.30000  200.00 215.40   0.01   0.00  31.00   0.01 275.04  26.10
  12.19200  203.40 216.20   0.01   0.00  34.00   0.01 275.43  26.98
  11.58200  223.80 220.30   0.02   0.00  44.00   0.01 277.87  33.09
  11.23800  236.00 222.40   0.03   0.00  60.00   0.01 279.46  37.56
  10.86000  250.00 224.80   0.05   0.00  73.00   0.01 281.66  43.35
  10.66800  257.40 226.40   0.07   0.00  80.00   0.01 283.05  46.69
  10.20000  276.00 230.40   0.09   0.00  66.00   0.02 286.94  54.98
   9.63000  300.00 235.40   0.08   0.00  38.00   0.02 291.67  64.00
