 Sounding NKX 20140703-12UTC                                                     
      z       p      T     wv     O3     RH   Aer.  LW_up  LW_dn
 100.00000    0.00 210.70   0.00   0.00   0.00   0.00 300.83   0.00
  70.00000    0.07 219.10   0.00   0.00   0.00   0.00 300.83   0.01
  50.00000    0.95 276.20   0.00   0.00   0.00   0.00 300.94   0.41
  45.00000    1.76 269.70   0.00   0.00   0.00   0.00 300.78   1.04
  40.00000    3.33 257.50   0.00   0.00   0.00   0.00 300.45   1.96
  35.00000    6.52 245.30   0.00   0.00   0.01   0.00 299.90   3.29
  30.00000   13.20 234.20   0.00   0.00   0.03   0.00 299.08   5.30
  24.11000   30.00 222.80   0.00   0.00   1.00   0.00 297.47   9.34
  23.77400   31.60 222.90   0.00   0.00   1.00   0.00 297.35   9.65
  22.85900   36.40 217.60   0.00   0.00   1.00   0.00 296.95  10.23
  22.68500   37.40 218.60   0.00   0.00   1.00   0.00 296.91  10.34
  22.25000   40.00 217.10   0.00   0.00   1.00   0.00 296.72  10.62
  22.25600   40.00 217.20   0.00   0.00   1.00   0.00 296.72  10.62
  21.75700   43.30 212.60   0.00   0.00   2.00   0.00 296.53  10.77
  21.46100   45.40 214.60   0.00   0.00   1.00   0.00 296.52  10.94
  21.08700   48.20 212.00   0.00   0.00   2.00   0.00 296.40  11.11
  20.86000   50.00 211.20   0.00   0.00   2.00   0.00 296.39  11.19
  20.20200   55.60 212.60   0.00   0.00   2.00   0.00 296.38  11.69
  19.99400   57.50 211.40   0.00   0.00   2.00   0.01 296.34  11.83
  19.77100   59.60 212.80   0.00   0.00   2.00   0.01 296.34  12.06
  19.27400   64.60 209.60   0.00   0.00   3.00   0.01 296.18  12.42
  18.99400   67.60 210.80   0.00   0.00   3.00   0.01 296.16  12.68
  18.63300   71.70 208.60   0.00   0.00   4.00   0.01 295.92  12.95
  18.45000   73.90 205.00   0.00   0.00   5.00   0.01 295.80  12.93
  18.14200   77.80 204.60   0.00   0.00   6.00   0.01 295.79  12.97
  17.98300   79.90 202.10   0.00   0.00   6.00   0.01 295.77  12.95
  17.75800   83.00 202.60   0.00   0.00   8.00   0.01 295.87  12.99
  17.50700   86.60 201.20   0.00   0.00   9.00   0.01 295.96  13.05
