      z       p      T     wv     O3     RH   Aer.  LW_up  LW_dn
 100.00    0.00 210.70   0.00   0.00   0.00   0.00 289.54   0.00
  70.00    0.07 219.10   0.00   0.00   0.00   0.00 289.54   0.01
  50.00    0.95 276.20   0.00   0.00   0.00   0.00 289.65   0.41
  45.00    1.76 269.70   0.00   0.00   0.00   0.00 289.50   1.04
  40.00    3.33 257.50   0.00   0.00   0.00   0.00 289.16   1.96
  35.00    6.52 245.30   0.00   0.00   0.00   0.00 288.63   3.26
  30.00   13.20 234.20   0.00   0.00   0.02   0.00 287.86   5.23
  25.00   27.70 224.20   0.00   0.00   0.13   0.00 286.91   7.98
  15.68  118.00 205.00   0.00   0.00  12.00   0.01 284.99  16.03
  15.54  120.70 203.00   0.00   0.00  11.00   0.01 285.06  15.98
  15.24  127.00 203.90   0.00   0.00  11.00   0.01 285.57  16.12
  14.45  145.00 207.80   0.00   0.00   9.00   0.00 287.22  17.44
  14.24  150.00 209.40   0.00   0.00   7.00   0.00 287.74  17.95
  13.92  158.00 212.00   0.00   0.00   6.00   0.01 288.53  18.91
  13.57  167.00 213.40   0.00   0.00  11.00   0.01 289.37  20.12
  13.10  180.00 217.40   0.00   0.00  10.00   0.01 290.85  22.57
  12.79  189.00 218.60   0.00   0.00  12.00   0.01 291.80  24.39
  12.32  203.00 223.00   0.01   0.00   9.00   0.01 293.54  27.73
  11.92  216.00 224.80   0.02   0.00  21.00   0.01 295.07  31.62
  11.59  227.00 227.60   0.01   0.00   8.00   0.01 296.59  34.90
  10.94  250.00 232.40   0.02   0.00  11.00   0.01 299.43  41.31
  10.80  255.00 233.50   0.02   0.00  13.00   0.01 300.04  43.10
  10.67  260.20 234.30   0.03   0.00  17.00   0.01 300.64  45.21
  10.59  263.00 234.40   0.04   0.00  21.00   0.01 300.98  46.46
  10.26  276.00 236.40   0.06   0.00  25.00   0.01 302.99  52.65
  10.04  285.00 238.00   0.04   0.00  16.00   0.01 304.38  56.33
   9.87  292.00 239.20   0.08   0.00  26.00   0.01 305.42  59.28
   9.80  295.00 239.40   0.13   0.00  40.00   0.01 305.93  60.94
