      z       p      T     wv     O3     RH   Aer.  LW_up  LW_dn
 100.00    0.00 210.70   0.00   0.00   0.00   0.00 309.72   0.00
  70.00    0.07 219.10   0.00   0.00   0.00   0.00 309.73   0.01
  50.00    0.95 276.20   0.00   0.00   0.00   0.00 309.84   0.41
  45.00    1.76 269.70   0.00   0.00   0.00   0.00 309.68   1.04
  40.00    3.33 257.50   0.00   0.00   0.00   0.00 309.35   1.96
  35.00    6.52 245.30   0.00   0.00   0.00   0.00 308.82   3.26
  30.00   13.20 234.20   0.00   0.00   0.02   0.00 308.08   5.23
  20.42   53.50 211.40   0.00   0.00   1.00   0.00 304.62  10.74
  20.12   56.20 210.10   0.00   0.00   1.00   0.00 304.52  10.76
  19.81   59.10 209.70   0.00   0.00   1.00   0.01 304.46  10.84
  18.81   69.70 205.00   0.00   0.00   2.00   0.01 304.30  11.01
  18.55   72.70 206.80   0.00   0.00   3.00   0.01 304.35  11.19
  18.29   76.00 204.40   0.00   0.00   3.00   0.01 304.29  11.29
  18.07   78.80 205.20   0.00   0.00   4.00   0.01 304.31  11.42
  17.91   81.00 203.20   0.00   0.00   6.00   0.01 304.27  11.47
  16.66  100.00 200.20   0.00   0.00  15.00   0.01 304.70  12.20
  16.21  108.00 198.80   0.00   0.00  14.00   0.01 305.09  12.45
  15.95  113.00 198.80   0.00   0.00  10.00   0.01 305.47  12.61
  15.40  124.00 202.80   0.00   0.00   9.00   0.01 306.52  13.43
  15.24  127.30 202.80   0.00   0.00   8.00   0.01 306.78  13.68
  14.71  139.00 206.40   0.00   0.00   8.00   0.00 307.93  14.83
  14.25  150.00 209.40   0.00   0.00   6.00   0.01 308.96  16.14
  12.44  200.00 220.40   0.00   0.00   8.00   0.01 314.31  24.23
  11.18  242.00 230.80   0.00   0.00   3.00   0.01 319.36  33.29
  10.56  265.00 233.60   0.01   0.00   8.00   0.01 321.66  39.24
  10.36  273.00 234.20   0.05   0.00  27.00   0.01 322.95  43.26
   9.95  290.00 238.20   0.06   0.00  20.00   0.01 327.62  53.44
   9.85  294.00 239.20   0.02   0.00   5.00   0.01 328.50  54.80
   9.71  300.00 240.40   0.01   0.00   4.00   0.01 329.39  56.12
   9.14  324.80 244.60   0.02   0.00   4.00   0.01 333.00  61.79
   9.03  330.00 245.40   0.03   0.00   5.00   0.03 333.79  63.17
   7.62  399.50 257.30   0.05   0.00   3.00   0.04 345.73  84.39
   7.24  420.00 258.60   0.05   0.00   3.00   0.04 348.37  90.12
   6.99  434.00 260.40   0.08   0.00   4.00   0.07 350.79  94.54
   6.10  487.60 267.90   0.10   0.00   3.00   0.08 361.46 114.14
   5.90  500.00 269.20   0.07   0.00   2.00   0.09 363.51 118.09
   4.88  568.00 276.80   0.12   0.00   2.00   0.11 374.47 139.74
   4.27  612.30 280.30   0.23   0.00   3.00   0.11 380.14 155.82
   4.03  630.00 280.50   0.40   0.00   5.00   0.12 381.96 162.73
   3.16  700.00 287.10   0.60   0.00   5.00   0.16 396.05 195.03
   2.62  746.00 291.50   0.31   0.00   2.00   0.18 402.91 212.40
   2.45  761.00 291.30   0.93   0.00   6.00   0.18 403.17 217.03
   2.13  789.30 292.50   1.33   0.00   8.00   0.18 405.32 229.74
   2.09  793.00 292.80   1.52   0.00   9.00   0.19 405.46 231.65
   1.99  803.00 292.30   2.30   0.00  14.00   0.31 404.77 236.23
   1.92  809.00 291.80   4.47   0.00  28.00   0.31 404.54 239.99
   1.49  851.00 294.80   6.28   0.00  33.00   0.31 409.40 276.64
   1.39  861.00 293.90   7.76   0.00  43.00   0.31 406.70 281.94
   1.32  868.00 293.10   5.17   0.00  30.00   0.31 405.23 283.76
   1.27  873.00 293.30   2.44   0.00  14.00   0.31 405.37 284.81
   1.22  877.80 293.50   2.65   0.00  15.00   0.31 405.37 285.71
   1.11  889.00 293.10   4.13   0.00  24.00   0.31 404.22 287.25
   1.04  896.00 292.50   6.15   0.00  37.00   0.44 403.24 288.10
   0.90  911.00 293.30   7.49   0.00  43.00   0.50 403.16 294.48
   0.81  921.00 293.50   3.70   0.00  21.00   0.50 401.55 297.62
   0.77  925.00 293.30   3.66   0.00  21.00   0.50 400.51 298.10
   0.72  930.00 293.10   3.96   0.00  23.00   0.50 398.80 298.57
   0.69  934.00 292.30   6.57   0.00  40.00   0.50 395.79 298.31
   0.61  942.40 286.00  10.33   0.00  92.00   0.50 384.70 289.82
   0.60  943.00 285.50  10.56   0.00  97.00   0.50 384.30 288.90
   0.59  945.00 285.10  10.62   0.00  99.99   0.00 384.21 287.57
   0.59  945.00 285.10  10.62   0.00  99.99   0.00 384.21 287.57
   0.59  945.00 285.10  10.62   0.00  99.99   0.00 384.21 287.57
   0.59  945.00 285.10  10.62   0.00  99.99   0.00 384.21 287.57
   0.59  945.00 285.10  10.62   0.00  99.99   0.00 384.21 287.57
   0.59  945.00 285.10  10.62   0.00  99.99   0.00 384.21 287.57
   0.59  945.00 285.10  10.62   0.00  99.99   0.00 384.21 287.57
   0.59  945.00 285.10  10.62   0.00  99.99   0.00 384.21 287.57
   0.59  945.00 285.10  10.62   0.00  99.99   0.00 384.21 287.57
   0.59  945.00 285.10  10.62   0.00  99.99   0.00 384.21 287.57
   0.59  945.00 285.10  10.62   0.00  99.99   0.00 384.21 287.57
   0.59  945.00 285.10  10.62   0.00  99.99   0.00 384.21 287.57
   0.59  945.00 285.10  10.62   0.00  99.99   0.00 384.21 287.57
   0.59  945.00 285.10  10.62   0.00  99.99   0.00 384.21 287.57
   0.59  945.00 285.10  10.62   0.00  99.99   0.00 384.21 287.57
   0.59  945.00 285.10  10.62   0.00  99.99   0.00 384.21 287.57
   0.59  945.00 285.10  10.62   0.00  99.99   0.00 384.21 287.57
   0.59  945.00 285.10  10.62   0.00  99.99   0.00 384.21 287.57
   0.59  945.00 285.10  10.62   0.00  99.99   0.00 384.21 287.57
   0.59  945.00 285.10  10.62   0.00  99.99   0.00 384.21 287.57
   0.59  945.00 285.10  10.62   0.00  99.99   0.00 384.21 287.57
   0.59  945.00 285.10  10.62   0.00  99.99   0.00 384.21 287.57
   0.59  945.00 285.10  10.62   0.00  99.99   0.00 384.21 287.57
   0.59  945.00 285.10  10.62   0.00  99.99   0.00 384.21 287.57
   0.59  945.00 285.10  10.62   0.00  99.99   0.00 384.21 287.57
   0.59  945.00 285.10  10.62   0.00  99.99   0.00 384.21 287.57
   0.59  945.00 285.10  10.62   0.00  99.99   0.00 384.21 287.57
   0.59  945.00 285.10  10.62   0.00  99.99   0.00 384.21 287.57
   0.59  945.00 285.10  10.62   0.00  99.99   0.00 384.21 287.57
   0.59  945.00 285.10  10.62   0.00  99.99   0.50 384.21 287.57
   0.30  977.20 287.80  11.29   0.00  90.00   0.50 393.02 303.52
   0.14  997.00 289.30  11.68   0.00  85.00   0.00 396.80 314.51
   0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
   0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
   0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
   0.00    0.00   0.00   0.00   0.00   0.00*******   0.00   0.00
   0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
   0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
   0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
   0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
