      z       p      T     wv     O3     RH   Aer.  LW_up  LW_dn
 100.00    0.00 210.70   0.00   0.00   0.00   0.00 275.02   0.00
  70.00    0.07 219.10   0.00   0.00   0.00   0.00 275.02   0.01
  50.00    0.95 276.20   0.00   0.00   0.00   0.00 275.13   0.41
  45.00    1.76 269.70   0.00   0.00   0.00   0.00 274.97   1.04
  40.00    3.33 257.50   0.00   0.00   0.00   0.00 274.64   1.96
  35.00    6.52 245.30   0.00   0.00   0.00   0.00 274.10   3.27
  30.00   13.20 234.20   0.00   0.00   0.02   0.00 273.30   5.25
  25.00   27.70 224.20   0.00   0.00   0.15   0.00 272.24   8.05
  17.38   85.00 205.00   0.00   0.00   1.00   0.01 270.41  12.01
  16.15  103.90 211.20   0.00   0.00   1.00   0.01 271.57  13.29
  15.86  109.00 211.40   0.00   0.00   1.00   0.01 271.70  13.71
  15.24  120.50 211.90   0.00   0.00   1.00   0.01 272.01  14.52
  14.63  133.00 211.80   0.00   0.00   2.00   0.00 272.34  15.33
  14.63  133.00 211.80   0.00   0.00   2.00   0.01 272.34  15.33
  14.18  143.00 214.00   0.00   0.00   4.00   0.01 272.68  16.41
  13.88  150.00 212.60   0.00   0.00   7.00   0.01 272.68  17.18
  13.29  165.00 211.20   0.00   0.00  16.00   0.01 273.02  18.94
  13.22  167.00 211.10   0.00   0.00  18.00   0.01 273.10  19.20
  12.96  174.00 211.00   0.00   0.00  25.00   0.01 273.41  20.24
  12.89  176.00 209.80   0.00   0.00  29.00   0.01 273.49  20.47
  12.65  183.00 210.00   0.00   0.00  25.00   0.01 274.12  21.32
  12.20  197.00 214.00   0.00   0.00  23.00   0.01 275.68  23.75
  12.04  202.00 214.00   0.00   0.00  23.00   0.01 276.13  24.63
  11.85  208.00 215.20   0.01   0.00  23.00   0.01 276.81  25.72
  11.55  218.00 216.80   0.00   0.00  10.00   0.01 277.84  27.27
  11.32  226.00 218.00   0.00   0.00  10.00   0.01 278.60  28.32
  10.67  250.00 222.40   0.01   0.00  12.00   0.01 281.28  32.34
  10.54  255.00 223.20   0.01   0.00  10.00   0.01 281.85  33.28
   9.46  300.00 231.60   0.01   0.00   8.00   0.02 287.69  42.77
   9.39  303.00 232.20   0.01   0.00   9.00   0.02 288.12  43.53
   9.14  314.10 234.50   0.02   0.00   8.00   0.02 289.76  46.58
   8.20  360.00 243.00   0.03   0.00   7.00   0.02 296.74  60.15
   8.00  370.00 244.20   0.10   0.00  20.00   0.04 298.57  64.68
   7.89  376.00 245.20   0.04   0.00   8.00   0.05 299.92  67.38
   7.44  400.00 249.60   0.05   0.00   6.00   0.07 304.29  75.20
   6.40  459.20 258.90   0.09   0.00   5.00   0.09 315.21  95.73
   5.79  497.90 264.30   0.13   0.00   5.00   0.10 322.25 110.37
   5.01  550.00 271.40   0.13   0.00   3.00   0.12 330.01 129.84
   4.88  559.40 271.00   0.21   0.00   5.00   0.12 330.14 132.77
   4.74  569.00 270.60   0.41   0.00  10.00   0.12 330.79 136.42
   4.57  581.20 272.00   0.40   0.00   9.00   0.12 332.89 142.57
   4.27  603.80 273.80   0.41   0.00   8.00   0.13 335.81 152.42
   3.77  642.00 275.30   0.34   0.00   6.00   0.14 339.11 164.07
   3.66  651.20 275.80   0.64   0.00  11.00   0.14 340.02 167.05
   3.54  661.00 276.30   1.20   0.00  20.00   0.14 341.23 171.88
   3.07  700.00 279.50   1.93   0.00  26.00   0.18 347.96 195.24
