      z       p      T     wv     O3     RH   Aer.  LW_up  LW_dn
 100.00    0.00 210.70   0.00   0.00   0.00   0.00 291.18   0.00
  70.00    0.07 219.10   0.00   0.00   0.00   0.00 291.18   0.01
  50.00    0.95 276.20   0.00   0.00   0.00   0.00 291.29   0.41
  45.00    1.76 269.70   0.00   0.00   0.00   0.00 291.13   1.04
  40.00    3.33 257.50   0.00   0.00   0.00   0.00 290.80   1.97
  35.00    6.52 245.30   0.00   0.00   0.01   0.00 290.26   3.29
  30.00   13.20 234.20   0.00   0.00   0.03   0.00 289.48   5.30
  25.00   27.70 224.20   0.00   0.00   0.19   0.01 288.51   8.19
  16.46  103.50 206.80   0.00   0.00   7.00   0.01 286.58  15.46
  16.37  105.00 206.20   0.00   0.00   7.00   0.01 286.60  15.48
  16.20  108.00 206.60   0.00   0.00   9.00   0.01 286.65  15.60
  16.15  109.00 205.20   0.00   0.00   9.00   0.01 286.63  15.61
  15.93  113.00 203.80   0.00   0.00  10.00   0.01 286.77  15.62
  15.83  115.00 204.60   0.00   0.00  10.00   0.01 286.91  15.69
  15.38  124.00 204.60   0.00   0.00  10.00   0.01 287.39  16.11
  15.14  129.00 204.00   0.00   0.00  10.00   0.01 287.73  16.30
  14.27  149.00 210.00   0.00   0.00   7.00   0.01 289.55  18.12
  14.02  155.20 210.50   0.00   0.00   7.00   0.01 289.99  18.75
  13.42  171.00 213.00   0.00   0.00   8.00   0.01 291.38  20.52
  12.50  197.60 219.70   0.00   0.00   6.00   0.01 294.14  24.67
  12.45  199.00 219.90   0.00   0.00   6.00   0.01 294.26  24.91
  11.62  226.00 224.40   0.01   0.00  12.00   0.01 297.11  30.74
  10.95  250.00 229.80   0.01   0.00  11.00   0.01 300.30  37.87
  10.74  258.00 231.60   0.01   0.00   8.00   0.01 301.23  40.22
  10.46  269.00 232.40   0.03   0.00  16.00   0.02 302.43  43.57
   9.71  300.00 238.60   0.04   0.00  14.00   0.02 307.21  55.30
   9.55  307.00 239.60   0.05   0.00  15.00   0.02 308.14  58.00
   9.34  316.00 240.60   0.10   0.00  29.00   0.02 309.53  62.21
   9.12  326.00 242.00   0.15   0.00  37.00   0.03 311.70  68.05
   8.84  339.00 244.50   0.14   0.00  27.00   0.03 315.04  75.08
   8.53  353.60 247.10   0.13   0.00  20.00   0.03 318.55  81.39
   7.95  383.00 252.20   0.11   0.00  11.00   0.06 325.02  91.94
   7.63  400.00 254.80   0.10   0.00   8.00   0.06 328.33  97.33
   7.32  417.10 257.20   0.10   0.00   7.00   0.08 331.41 102.48
   6.81  446.00 261.00   0.10   0.00   5.00   0.11 336.07 110.93
   6.71  452.10 261.60   0.13   0.00   6.00   0.11 336.92 112.75
   6.52  463.00 262.60   0.23   0.00  10.00   0.11 338.64 116.64
   6.10  489.40 265.60   0.25   0.00   9.00   0.13 343.57 127.22
   5.79  508.90 268.00   0.30   0.00   9.00   0.13 347.21 135.14
   5.65  518.00 269.20   0.29   0.00   8.00   0.13 348.65 138.88
   5.35  538.00 270.00   0.70   0.00  18.00   0.13 351.46 147.46
   5.15  552.00 272.00   0.54   0.00  12.00   0.13 354.44 154.59
   5.05  559.00 272.40   0.74   0.00  16.00   0.14 355.36 157.76
   4.98  564.00 272.60   1.35   0.00  29.00   0.16 356.15 160.67
   4.88  571.00 273.10   1.64   0.00  34.00   0.16 357.79 165.89
   4.57  593.10 275.50   2.10   0.00  37.00   0.16 364.46 182.44
   4.55  595.00 275.80   2.21   0.00  38.00   0.16 365.14 183.90
   3.91  643.00 281.90   2.51   0.00  29.00   0.18 383.01 215.83
   3.80  652.00 283.10   0.84   0.00   9.00   0.18 386.13 219.81
   3.20  700.00 287.30   0.61   0.00   5.00   0.18 395.64 233.18
   3.05  712.90 288.30   0.65   0.00   5.00   0.24 397.75 236.53
   2.72  741.00 290.50   0.59   0.00   4.00   0.25 401.66 244.11
   2.44  765.90 290.80   1.05   0.00   7.00   0.31 403.56 249.46
   1.83  822.30 294.80   0.76   0.00   4.00   0.45 410.18 265.18
   1.70  835.00 294.80   0.76   0.00   4.00   0.45 409.48 267.70
   1.60  844.00 293.30   2.44   0.00  14.00   0.45 407.57 268.14
   1.52  852.00 292.50   6.65   0.00  40.00   0.45 406.76 270.16
   1.35  869.00 293.30   9.24   0.00  53.00   0.45 409.28 283.90
   1.20  884.00 295.30   5.68   0.00  29.00   0.45 412.51 295.87
   1.15  890.00 295.50   6.53   0.00  33.00   0.45 412.20 298.94
   1.07  898.00 294.80  11.41   0.00  60.00   0.45 409.99 302.61
   1.00  905.00 294.10  10.23   0.00  56.00   0.72 408.07 305.69
   0.95  910.20 294.30  10.35   0.00  56.00   0.72 407.80 308.51
   0.93  912.50 294.40  10.03   0.00  54.00   0.72 407.61 309.86
   0.91  914.90 294.60   8.84   0.00  47.00   0.72 407.41 311.27
   0.88  917.20 294.80   7.61   0.00  40.00   0.72 407.01 312.49
   0.86  919.60 294.80   7.61   0.00  40.00   0.72 406.06 313.41
   0.84  922.00 294.10   8.22   0.00  45.00   0.72 404.30 313.43
   0.82  924.30 293.30   8.89   0.00  51.00   0.72 402.45 312.94
   0.80  926.70 292.60   9.54   0.00  57.00   0.72 400.82 312.36
   0.77  929.10 291.90  10.92   0.00  68.00   0.72 399.27 311.75
   0.75  931.50 291.30  13.01   0.00  84.00   0.72 397.84 311.34
   0.73  933.90 290.70  14.20   0.00  95.00   0.72 396.38 311.26
   0.71  936.40 290.10  13.99   0.00  97.00   0.72 395.12 311.26
   0.68  938.80 289.70  13.80   0.00  98.00   0.72 394.28 311.50
   0.66  941.30 289.40  13.69   0.00  99.00   0.72 393.64 311.99
   0.64  943.80 289.10  13.58   0.00  99.99   0.72 393.15 312.55
   0.62  946.20 289.00  13.49   0.00  99.99   0.72 393.05 312.87
   0.59  948.70 289.10  13.58   0.00  99.99   0.72 396.01 375.89
   0.57  951.20 289.20  13.66   0.00  99.99   0.72 396.81 384.86
   0.55  953.70 289.30  13.74   0.00  99.99   0.72 397.38 387.59
   0.53  956.20 289.40  13.82   0.00  99.99   0.72 397.77 388.79
   0.51  958.70 289.40  13.82   0.00  99.99   0.72 398.03 389.30
   0.48  961.20 289.50  13.77   0.00  99.00   0.72 398.56 389.82
   0.46  963.70 289.60  13.85   0.00  99.00   0.72 399.11 390.43
   0.44  966.20 289.70  13.94   0.00  99.00   0.72 399.65 391.07
   0.42  968.70 289.80  14.02   0.00  99.00   0.72 400.24 391.72
   0.39  971.20 289.90  14.11   0.00  99.00   0.72 400.89 392.36
   0.37  973.70 290.00  14.19   0.00  99.00   0.72 401.89 393.01
   0.35  976.20 290.30  14.30   0.00  98.00   0.72 403.60 394.27
   0.33  978.80 290.60  14.56   0.00  98.00   0.72 405.84 395.91
   0.30  981.30 290.80  14.59   0.00  97.00   0.72 410.01 397.37
   0.14 1001.00 292.50  15.30   0.00  92.00   0.00 414.57 402.79
   0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
   0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
   0.00    0.00   0.00   0.00   0.00   0.00*******   0.00   0.00
   0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
   0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
