      z       p      T     wv     O3     RH   Aer.  LW_up  LW_dn
 100.00    0.00 210.70   0.00   0.00   0.00   0.00 291.54   0.00
  70.00    0.07 219.10   0.00   0.00   0.00   0.00 291.55   0.01
  50.00    0.95 276.20   0.00   0.00   0.00   0.00 291.66   0.41
  45.00    1.76 269.70   0.00   0.00   0.00   0.00 291.50   1.04
  40.00    3.33 257.50   0.00   0.00   0.00   0.00 291.17   1.96
  35.00    6.52 245.30   0.00   0.00   0.00   0.00 290.62   3.26
  30.00   13.20 234.20   0.00   0.00   0.02   0.00 289.82   5.24
  25.00   27.70 224.20   0.00   0.00   0.13   0.00 288.71   8.01
  18.78   70.00 209.00   0.00   0.00   2.00   0.01 286.72  11.87
  18.29   75.90 208.20   0.00   0.00   4.00   0.01 286.71  12.14
  16.63  100.00 202.80   0.00   0.00   8.00   0.01 286.93  13.12
  16.15  108.30 203.60   0.00   0.00   9.00   0.01 287.35  13.55
  16.06  110.00 203.80   0.00   0.00  10.00   0.01 287.42  13.66
  15.85  114.00 202.20   0.00   0.00   9.00   0.00 287.58  13.80
  15.85  114.00 202.20   0.00   0.00   9.00   0.01 287.58  13.80
  15.54  120.00 203.20   0.00   0.00   8.00   0.00 288.09  14.10
  15.55  120.00 203.20   0.00   0.00   8.00   0.01 288.09  14.10
  15.11  129.00 207.20   0.00   0.00   8.00   0.01 288.88  15.02
  14.84  135.00 207.40   0.00   0.00   8.00   0.00 289.18  15.62
  14.75  137.00 206.40   0.00   0.00   9.00   0.00 289.28  15.74
  14.20  150.00 208.80   0.00   0.00   8.00   0.01 290.39  16.92
  13.46  169.00 213.40   0.00   0.00   7.00   0.01 292.26  19.31
  12.65  192.00 219.40   0.00   0.00   7.00   0.01 294.59  23.26
  12.39  200.00 219.60   0.00   0.00   9.00   0.01 295.27  24.70
  11.89  216.00 223.20   0.00   0.00   8.00   0.01 297.16  28.07
  11.45  231.00 226.40   0.01   0.00   6.00   0.01 298.82  31.33
  11.17  241.00 227.40   0.01   0.00  10.00   0.01 299.92  33.66
  10.97  248.00 229.00   0.01   0.00   9.00   0.01 300.92  35.62
  10.67  259.40 231.40   0.01   0.00   8.00   0.01 302.52  38.83
   9.75  296.40 238.50   0.01   0.00   5.00   0.01 307.65  48.82
   9.62  302.00 239.60   0.02   0.00   5.00   0.02 308.42  50.37
   8.84  337.00 246.10   0.02   0.00   4.00   0.02 313.19  60.61
   8.45  356.00 249.40   0.02   0.00   3.00   0.02 315.20  66.14
   8.26  365.00 250.00   0.04   0.00   5.00   0.02 315.63  68.85
