      z       p      T     wv     O3     RH   Aer.  LW_up  LW_dn
 100.00    0.00 210.70   0.00   0.00   0.00   0.00 281.98   0.00
  70.00    0.07 219.10   0.00   0.00   0.00   0.00 281.98   0.01
  50.00    0.95 276.20   0.00   0.00   0.00   0.00 282.09   0.41
  45.00    1.76 269.70   0.00   0.00   0.00   0.00 281.93   1.05
  40.00    3.33 257.50   0.00   0.00   0.00   0.00 281.60   1.98
  35.00    6.52 245.30   0.00   0.00   0.01   0.00 281.06   3.32
  30.00   13.20 234.20   0.00   0.00   0.05   0.00 280.29   5.40
  25.00   27.70 224.20   0.00   0.00   0.28   0.00 279.36   8.49
  20.00   59.50 218.20   0.00   0.00   1.22   0.02 278.82  13.00
  15.00  130.00 215.80   0.00   0.00   3.59   0.01 280.38  20.46
  14.00  153.00 215.80   0.00   0.00   4.25   0.01 281.21  22.24
  13.00  179.00 216.90   0.00   0.00   6.23   0.01 282.74  24.64
  12.00  209.00 222.30   0.01   0.00  13.06   0.02 285.68  29.94
  11.00  243.00 228.80   0.02   0.00  21.99   0.02 289.93  40.64
  10.00  281.00 235.20   0.07   0.00  33.86   0.04 296.03  56.42
   8.53  355.00 250.00   0.15   0.00  18.00   0.05 309.55  85.95
   8.49  357.00 250.00   0.26   0.00  32.00   0.05 309.69  87.03
   8.43  360.00 250.00   0.57   0.00  69.00   0.05 310.00  89.44
   8.37  363.00 249.60   0.71   0.00  89.00   0.05 310.50  92.40
   8.15  374.00 251.20   0.81   0.00  89.00   0.05 314.05 102.76
   8.13  375.00 251.00   0.75   0.00  84.00   0.05 314.35 103.47
   8.11  376.00 251.20   0.63   0.00  69.00   0.05 314.76 104.14
   8.09  377.00 251.60   0.45   0.00  48.00   0.05 315.09 104.72
   8.01  381.00 252.20   0.49   0.00  49.00   0.08 316.12 106.73
   7.92  386.00 253.00   0.39   0.00  37.00   0.09 317.35 109.09
   7.65  400.00 254.60   0.54   0.00  45.00   0.09 320.78 115.26
   7.56  405.00 255.40   0.44   0.00  34.00   0.09 322.23 117.50
   7.41  413.00 256.60   0.37   0.00  26.00   0.11 324.32 120.61
   6.78  449.00 262.40   0.29   0.00  13.00   0.16 332.27 133.72
   6.15  487.00 266.00   0.70   0.00  24.00   0.16 338.29 147.90
   6.10  490.10 265.90   0.93   0.00  32.00   0.16 338.61 149.25
   6.07  492.00 265.80   1.09   0.00  38.00   0.18 338.93 150.09
   5.96  499.00 266.80   0.43   0.00  14.00   0.20 340.30 152.97
   5.72  514.00 267.80   1.00   0.00  30.00   0.20 342.18 158.39
   5.63  520.00 267.80   2.09   0.00  63.00   0.20 342.91 161.68
   5.53  527.00 268.00   2.70   0.00  80.00   0.20 344.57 166.95
   5.35  539.00 269.60   2.87   0.00  76.00   0.20 349.14 177.44
   5.25  546.00 270.40   2.36   0.00  59.00   0.20 351.54 182.39
   5.19  550.00 271.00   2.63   0.00  63.00   0.20 352.88 184.97
   5.04  560.00 272.00   2.46   0.00  55.00   0.23 355.93 190.92
   4.83  575.00 273.80   2.79   0.00  55.00   0.24 360.90 199.53
   4.60  592.00 275.90   2.22   0.00  38.00   0.24 366.18 208.48
   4.42  605.00 277.10   3.04   0.00  48.00   0.24 369.74 214.73
   4.00  637.00 280.90   3.41   0.00  42.00   0.27 379.84 232.12
   3.71  660.00 283.10   4.68   0.00  50.00   0.27 386.54 244.76
   3.50  676.00 284.90   4.93   0.00  47.00   0.27 391.62 254.39
   3.21  700.00 286.90   5.58   0.00  47.00   0.28 398.15 267.48
   2.96  721.00 288.80   6.80   0.00  51.00   0.38 404.34 279.52
   2.74  739.50 290.50   6.79   0.00  46.00   0.38 410.06 290.55
   2.19  789.00 295.10   6.77   0.00  35.00   0.51 424.47 317.39
   1.85  820.00 297.90   4.77   0.00  21.00   0.68 431.78 331.82
   1.83  822.10 298.00   4.79   0.00  21.00   0.68 432.06 332.59
   1.67  837.00 298.90   6.24   0.00  26.00   0.68 434.24 338.53
   1.60  844.00 299.50   4.47   0.00  18.00   0.68 435.11 341.45
   1.52  851.20 299.50   3.73   0.00  15.00   0.68 435.05 343.13
   1.50  853.00 299.50   3.73   0.00  15.00   0.68 435.02 343.47
   1.39  864.00 299.30   5.89   0.00  24.00   0.68 434.86 345.39
   1.04  899.00 300.90   6.71   0.00  25.00   0.86 436.74 356.88
   0.96  907.00 301.10   4.61   0.00  17.00   1.08 436.38 359.08
   0.92  912.00 301.10   3.80   0.00  14.00   1.08 436.05 360.02
   0.79  925.00 301.30   6.04   0.00  22.00   1.08 434.63 362.76
   0.75  929.00 301.10   7.06   0.00  26.00   1.08 433.19 363.45
   0.59  946.00 298.10  10.10   0.00  44.00   1.08 422.33 361.23
   0.51  955.00 296.90   3.43   0.00  16.00   1.08 416.88 359.47
   0.50  956.00 296.30   4.77   0.00  23.00   1.08 415.98 358.95
   0.46  960.00 294.30  11.82   0.00  64.00   1.08 411.92 355.34
   0.42  965.00 292.10  13.16   0.00  81.00   1.08 407.39 350.32
   0.36  971.00 290.90  14.22   0.00  94.00   1.08 405.00 347.31
   0.32  976.30 290.40  14.39   0.00  98.00   0.00 404.43 346.54
   0.32  976.40 290.40  14.39   0.00  98.00   1.08 404.43 346.54
   0.32  976.40 290.40  14.53   0.00  99.00   0.00 404.44 346.54
   0.32  976.50 290.40  14.53   0.00  99.00   1.08 404.44 346.54
   0.32  976.50 290.40  14.53   0.00  99.00   0.00 404.46 346.54
   0.32  976.60 290.40  14.53   0.00  99.00   0.00 404.46 346.54
   0.32  976.60 290.40  14.53   0.00  99.00   1.08 404.46 346.54
