      z       p      T     wv     O3     RH   Aer.  LW_up  LW_dn
 100.00    0.00 210.70   0.00   0.00   0.00   0.00 303.18   0.00
  70.00    0.07 219.10   0.00   0.00   0.00   0.00 303.19   0.01
  50.00    0.95 276.20   0.00   0.00   0.00   0.00 303.30   0.41
  45.00    1.76 269.70   0.00   0.00   0.00   0.00 303.14   1.04
  40.00    3.33 257.50   0.00   0.00   0.00   0.00 302.80   1.95
  35.00    6.52 245.30   0.00   0.00   0.00   0.00 302.25   3.25
  30.00   13.20 234.20   0.00   0.00   0.02   0.00 301.41   5.19
  23.77   31.40 219.50   0.00   0.00   1.00   0.00 299.46   8.88
  23.41   33.20 219.60   0.00   0.00   1.00   0.00 299.32   9.14
  22.95   35.70 216.00   0.00   0.00   1.00   0.00 299.09   9.37
  22.55   38.00 215.30   0.00   0.00   1.00   0.00 298.96   9.53
  22.25   39.90 212.70   0.00   0.00   1.00   0.00 298.86   9.61
  21.64   44.00 212.20   0.00   0.00   1.00   0.00 298.80   9.83
  21.34   46.20 212.80   0.00   0.00   1.00   0.00 298.77  10.02
  20.84   50.00 211.80   0.00   0.00   1.00   0.00 298.65  10.30
  20.43   53.40 210.40   0.00   0.00   1.00   0.00 298.57  10.48
  20.12   56.20 211.10   0.00   0.00   1.00   0.00 298.54  10.67
  19.88   58.40 211.60   0.00   0.00   2.00   0.01 298.46  10.88
  19.51   62.00 208.20   0.00   0.00   2.00   0.01 298.26  11.06
  18.77   70.00 206.20   0.00   0.00   3.00   0.01 298.14  11.36
  18.36   74.90 205.20   0.00   0.00   5.00   0.01 298.07  11.57
  17.92   80.70 202.00   0.00   0.00   7.00   0.01 298.01  11.68
  17.65   84.50 202.80   0.00   0.00   8.00   0.01 298.10  11.84
  16.89   96.20 198.60   0.00   0.00   8.00   0.01 298.30  12.02
  16.66  100.00 200.40   0.00   0.00   9.00   0.01 298.56  12.19
  16.00  112.00 200.20   0.00   0.00   7.00   0.01 299.17  12.70
  15.49  122.00 202.20   0.00   0.00   8.00   0.00 299.94  13.30
  14.71  139.00 207.20   0.00   0.00   9.00   0.00 301.37  15.02
  14.33  148.10 208.30   0.00   0.00  11.00   0.00 302.03  16.08
  14.02  155.70 209.60   0.00   0.00  11.00   0.00 302.65  17.03
  13.93  158.00 210.00   0.00   0.00  12.00   0.00 302.85  17.34
  13.29  175.00 214.00   0.00   0.00  13.00   0.00 304.41  20.15
  12.91  186.00 214.80   0.00   0.00  17.00   0.00 305.36  22.12
  12.50  198.50 217.70   0.01   0.00  16.00   0.00 306.78  24.74
  12.26  206.00 218.80   0.01   0.00  16.00   0.01 307.59  26.35
  11.23  241.00 226.80   0.01   0.00  15.00   0.01 312.12  35.53
  10.99  250.00 227.60   0.03   0.00  31.00   0.01 313.29  38.70
  10.94  252.00 228.00   0.03   0.00  32.00   0.01 313.65  39.57
  10.50  269.00 231.60   0.04   0.00  26.00   0.01 316.83  46.61
  10.32  276.00 233.00   0.06   0.00  33.00   0.01 318.27  49.61
  10.01  289.00 236.00   0.05   0.00  20.00   0.01 321.02  54.92
   9.80  298.00 237.60   0.07   0.00  25.00   0.01 322.89  58.36
   9.75  300.00 238.20   0.07   0.00  23.00   0.01 323.37  59.22
   9.14  326.50 243.40   0.07   0.00  15.00   0.02 329.28  69.31
   8.25  370.00 251.00   0.07   0.00   8.00   0.02 338.27  83.42
   7.67  400.00 255.80   0.11   0.00   8.00   0.03 344.41  93.50
   7.30  420.00 258.40   0.18   0.00  11.00   0.04 349.20 101.35
   6.57  462.00 265.00   0.08   0.00   3.00   0.06 359.25 115.90
   6.10  490.80 268.80   0.11   0.00   3.00   0.07 364.62 124.19
   4.88  570.70 278.30   0.21   0.00   3.00   0.08 380.63 151.45
   4.08  630.00 284.80   0.31   0.00   3.00   0.09 392.14 174.64
   3.64  664.00 287.80   0.38   0.00   3.00   0.09 397.07 188.22
   3.48  676.00 287.50   0.86   0.00   7.00   0.09 398.02 193.10
   3.19  700.00 289.90   1.14   0.00   8.00   0.11 403.82 207.52
   2.74  737.10 293.60   1.06   0.00   6.00   0.13 412.91 228.16
   2.13  790.80 298.80   0.96   0.00   4.00   0.19 423.81 252.61
   1.83  819.00 300.90   1.07   0.00   4.00   0.23 426.75 263.98
   1.26  873.00 300.50   2.36   0.00   9.00   0.23 424.15 280.29
   1.05  895.00 300.30   1.56   0.00   6.00   0.28 422.23 285.25
   0.98  902.00 299.50   1.99   0.00   8.00   0.37 421.15 285.65
   0.91  908.50 299.90   2.03   0.00   8.00   0.37 421.26 287.12
   0.76  925.00 299.80   3.54   0.00  14.00   0.37 419.51 291.46
   0.64  937.50 299.60   4.00   0.00  16.00   0.37 416.63 295.18
   0.62  939.30 299.40   4.20   0.00  17.00   0.37 415.85 295.56
   0.60  941.20 299.20   4.64   0.00  19.00   0.37 414.96 295.92
   0.59  943.10 299.00   5.07   0.00  21.00   0.37 413.99 296.26
   0.57  944.90 298.70   5.46   0.00  23.00   0.37 412.85 296.51
   0.55  946.80 298.50   5.87   0.00  25.00   0.37 411.49 296.86
   0.54  948.60 298.00   6.62   0.00  29.00   0.37 409.61 296.94
   0.52  950.50 296.90   8.37   0.00  39.00   0.37 407.01 296.32
   0.50  952.40 295.80   9.87   0.00  49.00   0.37 404.31 295.42
   0.48  954.40 294.70  11.16   0.00  59.00   0.37 401.41 294.50
   0.47  956.30 293.60  12.24   0.00  69.00   0.37 398.51 293.59
   0.45  958.20 292.40  13.06   0.00  79.00   0.37 395.36 292.53
   0.43  960.10 290.60  12.93   0.00  87.00   0.37 391.77 290.65
   0.41  962.10 288.90  12.74   0.00  95.00   0.37 389.30 288.45
   0.40  964.00 288.40  12.75   0.00  98.00   0.37 388.55 287.49
   0.38  966.00 288.20  12.73   0.00  99.00   0.37 388.38 287.29
   0.36  968.00 288.30  12.80   0.00  99.00   0.37 390.83 332.00
   0.34  970.00 288.40  12.75   0.00  98.00   0.37 391.99 349.68
   0.33  971.90 288.50  12.83   0.00  98.00   0.37 393.04 361.97
   0.31  973.90 288.60  12.91   0.00  98.00   0.37 394.00 369.59
   0.29  975.90 288.80  13.07   0.00  98.00   0.37 394.99 374.90
   0.28  977.90 288.90  13.15   0.00  98.00   0.37 395.91 378.69
   0.26  979.90 289.10  13.17   0.00  97.00   0.37 396.93 381.35
   0.24  981.90 289.30  13.33   0.00  97.00   0.37 397.90 383.48
   0.22  984.00 289.50  13.49   0.00  97.00   0.37 398.75 385.26
   0.21  986.00 289.60  13.57   0.00  97.00   0.37 399.54 386.66
   0.19  988.00 289.80  13.74   0.00  97.00   0.37 400.45 387.90
   0.17  990.00 290.00  13.76   0.00  96.00   0.37 401.25 389.13
   0.15  992.00 290.20  13.93   0.00  96.00   0.37 401.90 390.38
   0.14  994.00 290.30  14.01   0.00  96.00   0.00 402.29 391.33
   0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
   0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
   0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
   0.00    0.00   0.00   0.00   0.00   0.00*******   0.00   0.00
   0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
   0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
   0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
   0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
