 Sounding NKX 20160616-12UTC                                                     
      z       p      T     wv     O3     RH   Aer.  LW_up  LW_dn
 100.00000    0.00 210.70   0.00   0.00   0.00   0.00 284.93   0.00
  70.00000    0.07 219.10   0.00   0.00   0.00   0.00 284.93   0.01
  50.00000    0.95 276.20   0.00   0.00   0.00   0.00 285.05   0.41
  45.00000    1.76 269.70   0.00   0.00   0.00   0.00 284.89   1.04
  40.00000    3.33 257.50   0.00   0.00   0.00   0.00 284.55   1.96
  35.00000    6.52 245.30   0.00   0.00   0.00   0.00 284.02   3.28
  30.00000   13.20 234.20   0.00   0.00   0.03   0.00 283.25   5.27
  21.99200   41.50 217.80   0.00   0.00   1.00   0.00 280.80  10.50
  21.64100   43.90 214.80   0.00   0.00   1.00   0.00 280.65  10.60
  21.33600   46.00 213.80   0.00   0.00   1.00   0.00 280.63  10.67
  20.82000   50.00 214.80   0.00   0.00   1.00   0.00 280.64  10.97
  20.42200   53.30 215.00   0.00   0.00   1.00   0.00 280.57  11.28
  19.96400   57.30 213.40   0.00   0.00   1.00   0.01 280.46  11.57
  19.62300   60.50 215.00   0.00   0.00   1.00   0.01 280.43  11.91
  19.50700   61.60 214.40   0.00   0.00   1.00   0.01 280.36  12.02
  19.14500   65.30 212.40   0.00   0.00   1.00   0.01 280.09  12.24
  19.07000   66.10 209.80   0.00   0.00   1.00   0.01 280.02  12.22
  18.89800   68.00 208.40   0.00   0.00   1.00   0.01 279.98  12.17
  18.72000   70.00 208.00   0.00   0.00   1.00   0.01 280.01  12.17
  18.41300   73.60 210.20   0.00   0.00   2.00   0.01 280.02  12.41
  18.20900   76.10 206.40   0.00   0.00   2.00   0.01 279.87  12.43
  17.58200   84.50 203.20   0.00   0.00   3.00   0.01 279.99  12.41
  16.72900   97.40 206.80   0.00   0.00   3.00   0.01 280.67  13.17
  16.57000  100.00 205.20   0.00   0.00   4.00   0.01 280.72  13.28
  16.21800  106.00 207.20   0.00   0.00   4.00   0.01 281.05  13.72
  15.93900  111.00 206.20   0.00   0.00   4.00   0.01 281.21  14.02
  15.72400  115.00 207.80   0.00   0.00   5.00   0.01 281.43  14.36
  15.56700  118.00 207.00   0.00   0.00   5.00   0.01 281.51  14.58
  15.26600  124.00 208.00   0.00   0.00   6.00   0.01 281.75  15.07
  15.16800  126.00 206.80   0.00   0.00   6.00   0.01 281.77  15.17
  14.88700  132.00 205.80   0.00   0.00   6.00   0.01 282.03  15.41
  14.61900  138.00 206.20   0.00   0.00   6.00   0.01 282.48  15.72
  14.23300  147.00 209.20   0.00   0.00   6.00   0.01 283.33  16.56
  13.98800  153.00 211.20   0.00   0.00   7.00   0.01 283.84  17.33
  13.74900  159.00 211.40   0.00   0.00   7.00   0.01 284.27  18.04
  12.93600  181.00 216.60   0.00   0.00   6.00   0.01 286.18  21.16
  12.49700  193.90 217.60   0.00   0.00   8.00   0.01 287.11  23.10
  11.92700  212.00 220.40   0.00   0.00  10.00   0.01 288.82  26.35
  10.85000  250.00 227.60   0.01   0.00  13.00   0.01 293.38  35.85
  10.33300  270.00 230.40   0.03   0.00  20.00   0.01 296.29  42.41
   9.61000  300.00 237.20   0.04   0.00  14.00   0.02 302.36  53.48
   8.87500  333.00 243.60   0.02   0.00   4.00   0.03 308.06  62.82
   7.62000  395.70 253.30   0.03   0.00   3.00   0.05 317.22  78.32
   7.31500  412.00 255.70   0.04   0.00   3.00   0.09 319.48  83.05
   5.84000  500.00 266.80   0.15   0.00   5.00   0.11 333.50 114.89
   5.18200  543.50 270.80   0.21   0.00   5.00   0.12 339.01 132.57
   4.97400  558.00 271.20   1.10   0.00  26.00   0.14 340.65 141.81
   4.62300  583.00 274.30   1.31   0.00  25.00   0.14 346.71 163.96
   4.37800  601.00 275.80   1.45   0.00  25.00   0.14 350.23 175.95
   4.25800  610.00 276.50   0.79   0.00  13.00   0.14 351.69 180.13
   3.93100  635.00 278.30   1.65   0.00  24.00   0.15 355.32 191.03
   3.56600  664.00 279.50   2.45   0.00  33.00   0.15 359.33 205.38
   3.13100  700.00 282.30   2.58   0.00  29.00   0.18 366.52 222.97
   2.92000  718.00 283.80   3.42   0.00  35.00   0.22 370.48 231.91
   2.71300  736.00 285.80   1.55   0.00  14.00   0.22 373.95 239.84
   2.43800  760.60 286.00   2.69   0.00  24.00   0.22 375.27 245.93
   2.33400  770.00 286.80   1.65   0.00  14.00   0.22 376.42 248.77
   2.19400  783.00 286.80   3.89   0.00  33.00   0.25 376.87 252.09
   1.94900  806.00 288.10   3.96   0.00  31.00   0.39 378.95 261.20
   1.82900  817.50 287.90   4.17   0.00  33.00   0.39 378.57 264.45
   1.39100  861.00 287.80   4.14   0.00  33.00   0.39 378.18 274.01
   1.18800  882.00 288.30   4.27   0.00  33.00   0.39 378.43 278.68
   1.18300  882.50 288.30   4.27   0.00  33.00   0.39 378.40 278.79
   1.14700  886.30 288.30   4.14   0.00  32.00   0.39 378.18 279.51
   1.11100  890.20 288.20   3.99   0.00  31.00   0.39 377.88 280.06
   1.07500  894.00 288.20   3.86   0.00  30.00   0.39 377.64 280.62
   1.03900  897.80 288.10   3.71   0.00  29.00   0.39 377.30 281.05
   1.00300  901.60 288.10   3.58   0.00  28.00   0.60 377.01 281.52
   0.96700  905.40 288.00   3.43   0.00  27.00   0.62 376.60 281.94
   0.93100  909.30 288.00   3.30   0.00  26.00   0.62 376.13 282.39
   0.89400  913.10 287.60   3.84   0.00  31.00   0.62 375.19 282.48
   0.85800  917.10 287.00   4.78   0.00  40.00   0.62 374.06 282.19
   0.82200  921.00 286.40   5.64   0.00  49.00   0.62 373.01 281.78
   0.78600  925.00 286.00   6.63   0.00  59.00   0.62 372.21 281.60
   0.75000  929.00 285.60   7.56   0.00  69.00   0.62 371.46 281.60
   0.71400  933.00 285.30   8.49   0.00  79.00   0.62 370.84 281.89
   0.67800  937.00 284.90   9.33   0.00  89.00   0.62 370.24 282.37
   0.64200  941.00 284.90   9.86   0.00  94.00   0.62 370.17 282.80
   0.60600  945.00 285.10   9.98   0.00  94.00   0.62 374.52 361.94
   0.57000  949.10 285.30  10.11   0.00  94.00   0.62 375.74 365.75
   0.53400  953.30 285.60  10.30   0.00  94.00   0.62 377.11 367.52
   0.49800  957.40 285.80  10.54   0.00  95.00   0.62 378.26 368.84
   0.46200  961.50 286.10  10.73   0.00  95.00   0.62 379.62 370.37
   0.42600  965.70 286.30  10.87   0.00  95.00   0.62 380.75 371.67
   0.38900  969.80 286.60  11.07   0.00  95.00   0.62 382.11 373.22
   0.35300  974.00 286.80  11.21   0.00  95.00   0.62 383.13 374.52
   0.31700  978.10 287.00  11.35   0.00  95.00   0.62 384.25 375.71
   0.28100  982.30 287.30  11.68   0.00  96.00   0.62 385.56 377.25
   0.24500  986.40 287.50  11.82   0.00  96.00   0.62 386.27 378.56
   0.20900  990.60 287.60  11.90   0.00  96.00   0.62 385.33 379.35
   0.17300  994.80 286.70  11.49   0.00  98.00   0.62 380.95 376.45
   0.13700  999.00 285.80  11.09   0.00  99.99   0.00 377.49 372.27
   0.00000    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
   0.00000    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
   0.00000    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
   0.00000    0.00   0.00   0.00   0.00   0.00*******   0.00   0.00
   0.00000    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
   0.00000    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
   0.00000    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
   0.00000    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
