      z       p      T     wv     O3     RH   Aer.  LW_up  LW_dn
 100.00    0.00 210.70   0.00   0.00   0.00   0.00 266.26   0.00
  70.00    0.07 219.10   0.00   0.00   0.00   0.00 266.26   0.01
  50.00    0.95 276.20   0.00   0.00   0.00   0.00 266.37   0.41
  45.00    1.76 269.70   0.00   0.00   0.00   0.00 266.21   1.05
  40.00    3.33 257.50   0.00   0.00   0.00   0.00 265.88   1.97
  35.00    6.52 245.30   0.00   0.00   0.01   0.00 265.33   3.30
  30.00   13.20 234.20   0.00   0.00   0.04   0.00 264.51   5.33
  25.00   27.70 224.20   0.00   0.00   0.22   0.00 263.34   8.28
  19.07   65.20 207.20   0.00   0.00   2.00   0.01 261.55  11.63
  18.64   70.00 207.80   0.00   0.00   2.00   0.01 261.73  11.85
  18.29   74.20 208.10   0.00   0.00   2.00   0.01 261.87  12.12
  17.98   78.00 208.60   0.00   0.00   2.00   0.01 261.98  12.40
  17.12   89.80 208.40   0.00   0.00   2.00   0.01 262.27  13.20
  16.28  103.00 208.00   0.00   0.00   2.00   0.01 262.70  13.96
  15.82  111.00 210.20   0.00   0.00   2.00   0.01 263.11  14.62
  15.29  121.00 211.40   0.00   0.00   2.00   0.01 263.35  15.49
  14.99  127.00 210.00   0.00   0.00   3.00   0.01 263.37  15.85
  14.31  142.00 209.40   0.00   0.00   6.00   0.01 263.76  16.79
  13.97  150.00 211.20   0.00   0.00  12.00   0.01 264.08  17.74
  13.89  152.00 211.40   0.00   0.00  16.00   0.01 264.07  18.08
  13.85  153.00 210.80   0.00   0.00  19.00   0.01 264.03  18.24
  13.73  156.00 208.20   0.00   0.00  24.00   0.01 264.01  18.52
  13.61  159.00 208.80   0.00   0.00  28.00   0.01 264.17  18.88
  13.31  167.00 207.40   0.00   0.00  32.00   0.01 264.59  19.80
  12.65  186.00 211.40   0.00   0.00  25.00   0.01 266.37  22.63
  12.33  196.00 211.60   0.00   0.00  25.00   0.01 267.21  24.03
  12.20  200.00 212.60   0.00   0.00  26.00   0.01 267.67  24.65
  11.34  229.00 219.20   0.01   0.00  28.00   0.01 271.39  30.95
  10.77  250.00 224.20   0.01   0.00  21.00   0.02 274.39  36.65
  10.67  254.00 225.20   0.02   0.00  21.00   0.02 274.94  37.80
   9.99  281.00 230.80   0.04   0.00  29.00   0.02 279.05  47.00
   9.55  300.00 234.40   0.06   0.00  30.00   0.02 282.38  54.67
   9.06  322.00 238.80   0.05   0.00  18.00   0.03 286.27  62.75
   8.74  337.00 241.40   0.10   0.00  26.00   0.04 288.94  68.50
   8.27  360.00 245.80   0.10   0.00  18.00   0.05 293.32  77.89
   7.86  381.00 249.00   0.18   0.00  24.00   0.07 297.17  86.62
   7.50  400.00 252.40   0.17   0.00  17.00   0.07 300.80  94.93
   7.43  404.00 253.00   0.18   0.00  17.00   0.07 301.39  96.55
   7.28  412.00 253.80   0.21   0.00  19.00   0.07 302.38  99.70
   7.12  421.00 254.20   0.36   0.00  31.00   0.11 303.53 103.53
   6.71  445.00 257.00   0.56   0.00  38.00   0.12 308.34 116.07
   6.56  454.00 258.00   0.51   0.00  32.00   0.12 310.14 120.52
   6.38  465.00 259.00   0.74   0.00  43.00   0.12 312.43 125.88
   6.10  482.30 261.30   0.61   0.00  30.00   0.14 316.65 134.34
   5.82  500.00 263.60   0.54   0.00  22.00   0.15 320.33 141.61
   5.77  503.00 264.00   0.50   0.00  20.00   0.15 320.83 142.75
   5.41  527.00 265.80   0.92   0.00  32.00   0.15 324.61 151.96
   5.35  531.00 266.00   0.79   0.00  27.00   0.15 325.25 153.52
   5.18  542.70 267.10   1.07   0.00  34.00   0.15 327.42 158.32
   5.11  548.00 267.60   1.24   0.00  38.00   0.18 328.44 160.82
   4.78  571.00 269.60   1.47   0.00  39.00   0.19 332.91 171.70
   4.41  598.00 271.40   2.32   0.00  54.00   0.19 338.44 184.57
   4.02  628.00 274.80   2.39   0.00  44.00   0.20 346.71 200.31
   3.13  700.00 281.50   3.13   0.00  37.00   0.27 364.55 233.06
   2.44  760.80 287.00   3.58   0.00  30.00   0.29 378.87 259.76
   2.25  778.00 288.50   3.80   0.00  29.00   0.29 382.39 267.14
   2.13  788.80 289.30   3.16   0.00  23.00   0.29 384.21 271.30
   2.10  792.00 289.50   3.06   0.00  22.00   0.44 384.68 272.36
   1.83  817.50 291.40   3.90   0.00  25.00   0.52 388.25 282.04
   1.42  857.00 293.10   5.17   0.00  30.00   0.52 388.11 296.36
   1.41  858.10 292.90   5.45   0.00  32.00   0.52 387.55 296.58
   1.38  861.20 292.00   5.97   0.00  37.00   0.52 385.97 296.37
   1.35  864.20 291.60   6.15   0.00  39.00   0.52 385.20 296.31
   1.32  867.20 291.80   5.59   0.00  35.00   0.52 385.03 296.98
   1.29  870.20 292.00   5.01   0.00  31.00   0.52 384.70 297.84
   1.26  873.30 292.10   4.55   0.00  28.00   0.52 384.04 298.61
   1.23  876.30 291.70   4.44   0.00  28.00   0.52 382.89 298.79
   1.20  879.40 291.40   4.83   0.00  31.00   0.52 381.78 298.82
   1.17  882.50 291.00   5.63   0.00  37.00   0.52 380.49 298.73
   1.14  885.60 290.60   6.39   0.00  43.00   0.52 378.96 298.60
   1.11  888.70 290.10   7.35   0.00  51.00   0.52 376.91 298.38
   1.08  891.80 289.00   8.50   0.00  63.00   0.52 373.85 297.42
   1.05  895.00 287.40   9.30   0.00  76.00   0.52 370.05 295.48
   1.02  898.20 285.10   9.45   0.00  89.00   0.58 366.15 292.26
   0.99  901.40 283.60   9.47   0.00  98.00   0.83 364.11 289.53
   0.96  904.60 283.40   9.54   0.00  99.99   0.83 363.96 288.89
   0.93  907.90 283.60   9.66   0.00  99.99   0.83 367.37 357.11
   0.90  911.20 283.70   9.72   0.00  99.99   0.83 368.05 359.00
   0.87  914.50 283.90   9.75   0.00  99.00   0.83 368.94 360.03
   0.84  917.70 284.00   9.81   0.00  99.00   0.83 369.58 360.76
   0.81  921.00 284.20   9.93   0.00  99.00   0.83 370.47 361.72
   0.78  924.30 284.30  10.00   0.00  99.00   0.83 371.12 362.46
   0.76  927.60 284.50  10.12   0.00  99.00   0.83 371.99 363.43
   0.72  931.00 284.60  10.19   0.00  99.00   0.83 372.52 364.17
   0.69  934.30 284.70  10.25   0.00  99.00   0.83 373.05 364.80
   0.67  937.60 284.80  10.32   0.00  99.00   0.83 373.70 365.43
   0.64  941.00 285.00  10.34   0.00  98.00   0.83 374.59 366.41
   0.60  944.30 285.10  10.41   0.00  98.00   0.83 375.17 367.15
   0.57  947.70 285.20  10.47   0.00  98.00   0.83 376.27 367.79
   0.55  951.00 285.30  10.54   0.00  98.00   0.83 385.16 368.74
   0.30  978.40 287.60  11.28   0.00  91.00   0.83 392.63 375.38
   0.14  998.00 289.30  11.82   0.00  86.00   0.00 396.80 381.40
   0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
   0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
   0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
   0.00    0.00   0.00   0.00   0.00   0.00*******   0.00   0.00
   0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
   0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
   0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
   0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
