      z       p      T     wv     O3     RH   Aer.  LW_up  LW_dn
 100.00    0.00 210.70   0.00   0.00   0.00   0.00 270.20   0.00
  70.00    0.07 219.10   0.00   0.00   0.00   0.00 270.21   0.01
  50.00    0.95 276.20   0.00   0.00   0.00   0.00 270.32   0.41
  45.00    1.76 269.70   0.00   0.00   0.00   0.00 270.16   1.05
  40.00    3.33 257.50   0.00   0.00   0.00   0.00 269.83   1.97
  35.00    6.52 245.30   0.00   0.00   0.01   0.00 269.29   3.29
  26.62   20.00 224.00   0.00   0.00   1.00   0.00 267.24   7.72
  25.91   22.30 222.00   0.00   0.00   1.00   0.00 267.12   8.15
  25.30   24.50 222.70   0.00   0.00   1.00   0.00 267.03   8.60
  24.38   28.20 220.70   0.00   0.00   1.00   0.00 266.80   9.28
  24.08   29.50 219.30   0.00   0.00   1.00   0.00 266.72   9.47
  23.77   31.00 219.10   0.00   0.00   1.00   0.00 266.66   9.67
  23.47   32.50 218.20   0.00   0.00   1.00   0.00 266.58   9.86
  22.86   35.80 215.30   0.00   0.00   1.00   0.00 266.46  10.15
  22.55   37.50 215.70   0.00   0.00   1.00   0.00 266.45  10.32
  22.25   39.40 215.10   0.00   0.00   1.00   0.00 266.42  10.50
  21.95   41.30 215.00   0.00   0.00   1.00   0.00 266.41  10.68
  21.34   45.50 214.00   0.00   0.00   1.00   0.00 266.35  11.06
  21.03   47.80 213.20   0.00   0.00   1.00   0.00 266.36  11.23
  20.70   50.40 214.80   0.00   0.00   1.00   0.00 266.38  11.51
  20.16   55.00 212.40   0.00   0.00   1.00   0.01 266.26  11.85
  19.30   63.10 211.60   0.00   0.00   1.00   0.01 266.34  12.44
  18.47   72.20 209.60   0.00   0.00   1.00   0.01 266.48  12.96
  18.07   77.10 209.60   0.00   0.00   1.00   0.01 266.69  13.23
  16.25  103.00 213.80   0.00   0.00   1.00   0.01 268.02  15.43
  15.62  114.00 216.00   0.00   0.00   1.00   0.01 268.49  16.54
  15.24  121.00 216.10   0.00   0.00   1.00   0.01 268.66  17.17
  14.69  132.00 217.40   0.00   0.00   1.00   0.01 268.88  18.15
  14.23  142.00 214.60   0.00   0.00   1.00   0.01 268.88  18.56
  14.02  146.70 216.00   0.00   0.00   2.00   0.01 269.10  18.88
  13.88  150.00 216.20   0.00   0.00   2.00   0.01 269.18  19.17
  13.41  161.50 215.60   0.00   0.00   3.00   0.01 269.42  20.01
