 Sounding NKX 20140529-12UTC                                                     
      z       p      T     wv     O3     RH   Aer.  LW_up  LW_dn
 100.00000    0.00 210.70   0.00   0.00   0.00   0.00 278.72   0.00
  70.00000    0.07 219.10   0.00   0.00   0.00   0.00 278.73   0.01
  50.00000    0.95 276.20   0.00   0.00   0.00   0.00 278.84   0.41
  45.00000    1.76 269.70   0.00   0.00   0.00   0.00 278.68   1.04
  40.00000    3.33 257.50   0.00   0.00   0.00   0.00 278.35   1.96
  35.00000    6.52 245.30   0.00   0.00   0.00   0.00 277.81   3.27
  30.00000   13.20 234.20   0.00   0.00   0.03   0.00 277.05   5.27
  20.50100   51.90 208.20   0.00   0.00   2.00   0.00 273.74  10.50
  19.67800   59.40 208.40   0.00   0.00   2.00   0.01 273.84  10.81
  18.89800   67.50 206.60   0.00   0.00   2.00   0.01 273.95  11.20
  18.68000   70.00 206.80   0.00   0.00   2.00   0.01 274.05  11.33
  18.45900   72.60 207.80   0.00   0.00   2.00   0.01 274.14  11.52
  17.67800   82.60 206.10   0.00   0.00   3.00   0.01 274.34  12.08
  17.37400   86.80 206.10   0.00   0.00   3.00   0.01 274.52  12.31
  16.76400   96.00 207.00   0.00   0.00   3.00   0.01 275.00  12.93
  16.16500  106.00 208.60   0.00   0.00   2.00   0.01 275.54  13.70
  15.88400  111.00 208.20   0.00   0.00   2.00   0.01 275.83  14.01
  15.40500  120.00 212.40   0.00   0.00   2.00   0.01 276.52  14.98
  14.76500  133.00 212.80   0.00   0.00   2.00   0.01 277.08  16.18
  14.58000  137.00 214.20   0.00   0.00   2.00   0.01 277.32  16.60
  14.09500  148.00 215.00   0.00   0.00   2.00   0.01 277.79  17.66
  13.68100  158.00 217.00   0.00   0.00   2.00   0.01 278.23  18.74
  13.10500  173.00 216.60   0.00   0.00   5.00   0.01 278.49  20.30
  12.92500  178.00 215.40   0.00   0.00   8.00   0.01 278.57  20.80
  12.51300  190.00 215.80   0.00   0.00  13.00   0.01 279.14  22.49
  12.38200  194.00 214.80   0.00   0.00  17.00   0.01 279.33  23.04
  11.88700  209.80 216.60   0.00   0.00  16.00   0.01 280.79  25.63
  11.27800  230.50 220.80   0.01   0.00  14.00   0.01 283.18  29.73
  10.46600  261.00 227.20   0.01   0.00  13.00   0.01 286.97  37.11
   9.75400  290.30 232.00   0.03   0.00  19.00   0.02 291.09  46.06
   9.59900  297.00 233.60   0.01   0.00   8.00   0.02 292.13  48.00
   9.14400  316.90 237.10   0.02   0.00   9.00   0.03 294.76  53.04
   8.03600  371.00 246.00   0.04   0.00   7.00   0.05 301.90  68.57
   7.67400  390.00 247.60   0.23   0.00  35.00   0.05 304.51  77.97
   7.49000  400.00 249.40   0.28   0.00  36.00   0.05 306.84  85.29
   7.18500  417.00 252.20   0.33   0.00  33.00   0.08 310.68  95.95
   6.62000  450.00 256.20   0.48   0.00  35.00   0.09 318.22 113.17
   6.09600  482.30 261.20   0.47   0.00  23.00   0.10 326.49 128.51
   5.82000  500.00 263.20   0.73   0.00  31.00   0.11 330.69 136.67
   5.18200  542.50 269.20   0.81   0.00  22.00   0.12 342.50 157.58
   4.90300  562.00 270.60   0.32   0.00   8.00   0.13 345.76 163.57
   4.57100  586.00 271.80   0.57   0.00  13.00   0.13 349.33 169.24
   4.26700  608.30 274.20   0.57   0.00  11.00   0.14 354.22 176.36
   3.12400  700.00 283.30   0.66   0.00   7.00   0.17 371.09 206.35
   2.93600  716.00 283.90   0.98   0.00  10.00   0.21 371.89 211.30
   2.83200  725.00 283.10   3.00   0.00  32.00   0.21 371.67 214.47
   2.74300  732.80 283.60   3.67   0.00  38.00   0.21 373.17 219.73
   2.43800  760.00 285.60   3.94   0.00  36.00   0.21 379.06 237.59
   1.99500  801.00 289.30   3.99   0.00  29.00   0.38 388.78 260.09
   1.78500  821.00 291.30   2.17   0.00  14.00   0.38 392.80 268.89
   1.23900  875.00 293.80   3.23   0.00  18.00   0.38 396.40 285.22
   1.07300  892.00 293.50   3.00   0.00  17.00   0.49 394.53 288.52
   0.93000  907.00 292.30   7.40   0.00  45.00   0.60 390.74 290.56
   0.91500  908.60 292.20   7.84   0.00  48.00   0.60 390.24 290.95
   0.89900  910.30 292.10   8.28   0.00  51.00   0.60 389.63 291.44
   0.88400  911.90 291.90   8.83   0.00  55.00   0.60 388.94 291.84
   0.86800  913.50 291.80   9.26   0.00  58.00   0.60 388.23 292.38
   0.85300  915.10 291.70   9.68   0.00  61.00   0.60 387.43 292.94
   0.83800  916.70 291.50  10.03   0.00  64.00   0.60 386.43 293.43
   0.82200  918.30 291.40  10.44   0.00  67.00   0.60 385.08 294.05
   0.80700  920.00 290.70  10.61   0.00  71.00   0.60 382.99 294.02
   0.79200  921.70 289.60  10.63   0.00  76.00   0.60 380.61 293.20
   0.77600  923.30 288.50  10.74   0.00  82.00   0.60 378.29 292.03
   0.76100  925.00 287.30  10.58   0.00  87.00   0.60 376.36 290.62
   0.74500  926.70 286.70  10.55   0.00  90.00   0.60 375.15 289.63
   0.73000  928.40 286.10  10.62   0.00  94.00   0.60 374.10 288.87
   0.71500  930.10 285.50  10.56   0.00  97.00   0.60 373.27 288.14
   0.69900  931.90 285.20  10.58   0.00  99.00   0.60 373.04 287.74
   0.68400  933.60 285.30  10.64   0.00  99.00   0.60 375.47 340.71
   0.66900  935.30 285.30  10.64   0.00  99.00   0.60 376.18 354.51
   0.65300  937.00 285.40  10.60   0.00  98.00   0.60 376.91 361.53
   0.63800  938.70 285.50  10.67   0.00  98.00   0.60 377.50 364.80
   0.62200  940.40 285.60  10.73   0.00  98.00   0.60 378.08 366.69
   0.60700  942.10 285.70  10.80   0.00  98.00   0.60 378.64 367.79
   0.59200  943.90 285.80  10.87   0.00  98.00   0.60 379.23 368.60
   0.57600  945.60 285.90  10.82   0.00  97.00   0.60 379.97 369.31
   0.56100  947.40 286.10  10.96   0.00  97.00   0.60 380.78 370.14
   0.54600  949.10 286.20  11.03   0.00  97.00   0.60 381.47 370.89
   0.53000  950.90 286.30  10.98   0.00  96.00   0.60 382.44 371.56
   0.51500  952.60 286.40  11.05   0.00  96.00   0.60 383.89 372.18
   0.49900  954.40 286.60  11.07   0.00  95.00   0.60 386.52 373.08
