      z       p      T     wv     O3     RH   Aer.  LW_up  LW_dn
 100.00    0.00 210.70   0.00   0.00   0.00   0.00 278.76   0.00
  70.00    0.07 219.10   0.00   0.00   0.00   0.00 278.76   0.01
  50.00    0.95 276.20   0.00   0.00   0.00   0.00 278.88   0.41
  45.00    1.76 269.70   0.00   0.00   0.00   0.00 278.72   1.05
  40.00    3.33 257.50   0.00   0.00   0.00   0.00 278.38   1.98
  35.00    6.52 245.30   0.00   0.00   0.01   0.00 277.85   3.34
  30.00   13.20 234.20   0.00   0.00   0.05   0.00 277.07   5.44
  25.00   27.70 224.20   0.00   0.00   0.31   0.00 276.13   8.58
  20.00   59.50 218.20   0.00   0.00   1.36   0.02 275.51  13.20
  14.27  150.00 209.40   0.00   0.00   8.00   0.01 277.42  20.54
  12.80  189.60 218.90   0.00   0.00   6.00   0.01 281.73  25.31
  12.46  200.00 221.60   0.00   0.00   5.00   0.02 282.94  27.08
  11.89  217.90 225.60   0.00   0.00   3.00   0.02 284.92  30.19
  10.67  261.30 234.00   0.00   0.00   2.00   0.02 289.39  37.90
  10.15  282.00 237.40   0.01   0.00   3.00   0.03 291.31  42.44
   9.84  295.00 238.60   0.01   0.00   3.00   0.03 292.41  45.52
   9.45  311.70 241.20   0.01   0.00   3.00   0.03 294.00  49.72
   9.26  320.00 242.40   0.02   0.00   4.00   0.03 294.62  52.10
   9.18  324.00 242.20   0.06   0.00  14.00   0.03 294.79  53.95
   9.14  325.40 241.90   0.09   0.00  22.00   0.03 294.87  55.05
   9.11  327.00 241.60   0.15   0.00  37.00   0.03 295.05  56.75
   9.09  328.00 241.60   0.18   0.00  45.00   0.05 295.24  58.02
   8.23  369.30 249.90   0.20   0.00  25.00   0.06 304.91  88.39
   7.92  384.90 251.90   0.21   0.00  22.00   0.10 307.73  95.58
   7.79  392.00 252.60   0.21   0.00  20.00   0.10 309.01  98.45
   7.62  401.10 254.00   0.22   0.00  19.00   0.10 310.81 102.11
   6.97  437.00 259.60   0.27   0.00  15.00   0.18 317.05 116.95
   6.85  444.00 259.80   0.78   0.00  43.00   0.18 317.69 120.77
   6.68  454.00 260.00   0.95   0.00  51.00   0.18 318.92 127.54
   6.57  461.00 260.20   1.49   0.00  79.00   0.18 320.20 132.55
   6.39  472.00 261.60   1.74   0.00  83.00   0.19 323.63 142.32
   5.94  500.00 265.60   2.15   0.00  76.00   0.22 333.18 164.82
   5.79  509.60 266.90   2.24   0.00  72.00   0.22 336.22 171.65
   5.29  543.00 270.40   2.52   0.00  63.00   0.22 345.31 190.98
   5.18  550.50 271.00   2.63   0.00  63.00   0.22 347.02 194.75
   5.13  554.00 271.20   2.71   0.00  64.00   0.22 347.74 196.37
   5.02  562.00 271.60   3.39   0.00  78.00   0.26 349.65 200.19
   4.84  575.00 273.00   3.64   0.00  76.00   0.27 354.14 207.95
   4.57  593.90 275.30   3.70   0.00  66.00   0.27 361.02 219.18
   4.27  616.60 277.90   3.74   0.00  56.00   0.28 368.67 231.10
   3.76  656.00 282.30   3.83   0.00  43.00   0.29 380.65 250.26
   3.55  673.00 283.50   5.57   0.00  58.00   0.29 384.83 258.24
   3.22  700.00 286.10   5.76   0.00  51.00   0.29 392.98 272.73
   3.05  714.50 287.30   6.20   0.00  51.00   0.29 396.91 280.04
   3.01  718.00 287.50   6.77   0.00  55.00   0.42 397.83 281.75
   2.74  740.50 289.80   7.08   0.00  50.00   0.42 405.20 294.72
   2.25  784.00 293.90   7.76   0.00  43.00   0.42 418.23 318.82
   2.13  794.90 295.00   7.31   0.00  38.00   0.61 421.53 324.84
   1.83  823.30 297.90   6.36   0.00  28.00   0.75 429.05 339.75
   1.74  832.00 298.80   6.21   0.00  26.00   0.75 430.57 344.17
   1.49  856.00 298.90   8.17   0.00  34.00   0.75 430.97 351.95
   1.22  882.40 301.00   6.48   0.00  24.00   0.75 434.31 363.33
   1.17  887.00 301.30   6.31   0.00  23.00   0.96 434.38 365.10
   0.85  920.00 301.80   7.05   0.00  25.00   1.20 428.61 374.05
   0.80  925.00 300.50   8.40   0.00  32.00   1.20 424.30 373.22
